,date,cape,caey,p-cape,p-caey,ern_cape,ern_caey
0,1871-01,,,,,,
1,1871-02,,,,,,
2,1871-03,,,,,,
3,1871-04,,,,,,
4,1871-05,,,,,,
5,1871-06,,,,,,
6,1871-07,,,,,,
7,1871-08,,,,,,
8,1871-09,,,,,,
9,1871-10,,,,,,
10,1871-11,,,,,,
11,1871-12,,,,,,
12,1872-01,,,,,,
13,1872-02,,,,,,
14,1872-03,,,,,,
15,1872-04,,,,,,
16,1872-05,,,,,,
17,1872-06,,,,,,
18,1872-07,,,,,,
19,1872-08,,,,,,
20,1872-09,,,,,,
21,1872-10,,,,,,
22,1872-11,,,,,,
23,1872-12,,,,,,
24,1873-01,,,,,,
25,1873-02,,,,,,
26,1873-03,,,,,,
27,1873-04,,,,,,
28,1873-05,,,,,,
29,1873-06,,,,,,
30,1873-07,,,,,,
31,1873-08,,,,,,
32,1873-09,,,,,,
33,1873-10,,,,,,
34,1873-11,,,,,,
35,1873-12,,,,,,
36,1874-01,,,,,,
37,1874-02,,,,,,
38,1874-03,,,,,,
39,1874-04,,,,,,
40,1874-05,,,,,,
41,1874-06,,,,,,
42,1874-07,,,,,,
43,1874-08,,,,,,
44,1874-09,,,,,,
45,1874-10,,,,,,
46,1874-11,,,,,,
47,1874-12,,,,,,
48,1875-01,,,,,,
49,1875-02,,,,,,
50,1875-03,,,,,,
51,1875-04,,,,,,
52,1875-05,,,,,,
53,1875-06,,,,,,
54,1875-07,,,,,,
55,1875-08,,,,,,
56,1875-09,,,,,,
57,1875-10,,,,,,
58,1875-11,,,,,,
59,1875-12,,,,,,
60,1876-01,,,,,,
61,1876-02,,,,,,
62,1876-03,,,,,,
63,1876-04,,,,,,
64,1876-05,,,,,,
65,1876-06,,,,,,
66,1876-07,,,,,,
67,1876-08,,,,,,
68,1876-09,,,,,,
69,1876-10,,,,,,
70,1876-11,,,,,,
71,1876-12,,,,,,
72,1877-01,,,,,,
73,1877-02,,,,,,
74,1877-03,,,,,,
75,1877-04,,,,,,
76,1877-05,,,,,,
77,1877-06,,,,,,
78,1877-07,,,,,,
79,1877-08,,,,,,
80,1877-09,,,,,,
81,1877-10,,,,,,
82,1877-11,,,,,,
83,1877-12,,,,,,
84,1878-01,,,,,,
85,1878-02,,,,,,
86,1878-03,,,,,,
87,1878-04,,,,,,
88,1878-05,,,,,,
89,1878-06,,,,,,
90,1878-07,,,,,,
91,1878-08,,,,,,
92,1878-09,,,,,,
93,1878-10,,,,,,
94,1878-11,,,,,,
95,1878-12,,,,,,
96,1879-01,,,,,,
97,1879-02,,,,,,
98,1879-03,,,,,,
99,1879-04,,,,,,
100,1879-05,,,,,,
101,1879-06,,,,,,
102,1879-07,,,,,,
103,1879-08,,,,,,
104,1879-09,,,,,,
105,1879-10,,,,,,
106,1879-11,,,,,,
107,1879-12,,,,,,
108,1880-01,,,,,,
109,1880-02,,,,,,
110,1880-03,,,,,,
111,1880-04,,,,,,
112,1880-05,,,,,,
113,1880-06,,,,,,
114,1880-07,,,,,,
115,1880-08,,,,,,
116,1880-09,,,,,,
117,1880-10,,,,,,
118,1880-11,,,,,,
119,1880-12,17.229756985481497,0.058039123874041934,11.918367346938775,0.0839041095890411,15.035581267096854,0.06650890193306674
120,1881-01,18.36288149296525,0.05445768412670398,12.682380675719452,0.07884954927386072,16.01347700836501,0.062447399741956525
121,1881-02,18.037792827339413,0.05543915542063029,12.606794544310596,0.07932230484800727,15.721897802825685,0.06360555274823569
122,1881-03,18.15925687879343,0.05506833273380314,12.790912412367888,0.0781805056403226,15.82232415910703,0.06320184000429664
123,1881-04,17.85184951839684,0.05601660483242767,12.719866456368894,0.07861717758045293,15.575395716551622,0.06420382622685615
124,1881-05,18.769227005779626,0.05327869920759491,13.467751928904484,0.07425144190945486,16.348907563365643,0.06116616637069887
125,1881-06,18.929624033930608,0.052827250990697926,13.6610364894044,0.0732008878517825,16.49092916485081,0.0606393969680875
126,1881-07,18.026657794486358,0.05547340008339541,13.119806112398976,0.0762206385851192,15.707068690376529,0.0636656030295891
127,1881-08,17.207538906544006,0.05811406299477848,12.635249848409492,0.07914366648838991,15.021589657641815,0.06657085054185845
128,1881-09,16.65429535223309,0.06004456981519276,12.38432590154445,0.08074722903370057,14.517741711804234,0.06888123647956278
129,1881-10,16.19439437425614,0.06174976210222947,12.18163425142651,0.08209079170825512,14.144750857031495,0.070697604369814
130,1881-11,16.411559034202764,0.06093266324764969,12.478959580362684,0.08013488572986759,14.316342040977936,0.06985024506523252
131,1881-12,15.89282955714898,0.06292145752926519,12.201291815351981,0.08195853481200853,13.894382519654252,0.0719715322782753
132,1882-01,15.614172366068576,0.06404438074304322,12.090264413628105,0.0827111770089001,13.635554389811325,0.07333768553973968
