,date,cpi
0,1871-01,12.464
1,1871-02,12.845
2,1871-03,13.035
3,1871-04,12.559
4,1871-05,12.274
5,1871-06,12.083
6,1871-07,12.083
7,1871-08,11.893
8,1871-09,12.179
9,1871-10,12.369
10,1871-11,12.369
11,1871-12,12.654
12,1872-01,12.654
13,1872-02,12.654
14,1872-03,12.845
15,1872-04,13.13
16,1872-05,13.13
17,1872-06,13.035
18,1872-07,12.845
19,1872-08,12.94
20,1872-09,13.035
21,1872-10,12.749
22,1872-11,13.13
23,1872-12,12.94
24,1873-01,12.94
25,1873-02,13.225
26,1873-03,13.225
27,1873-04,13.225
28,1873-05,12.94
29,1873-06,12.559
30,1873-07,12.559
31,1873-08,12.559
32,1873-09,12.559
33,1873-10,12.274
34,1873-11,11.893
35,1873-12,12.179
36,1874-01,12.369
37,1874-02,12.369
38,1874-03,12.369
39,1874-04,12.179
40,1874-05,12.083
41,1874-06,11.798
42,1874-07,11.893
43,1874-08,11.798
44,1874-09,11.798
45,1874-10,11.608
46,1874-11,11.513
47,1874-12,11.513
48,1875-01,11.513
49,1875-02,11.513
50,1875-03,11.513
51,1875-04,11.608
52,1875-05,11.322
53,1875-06,11.132
54,1875-07,11.132
55,1875-08,11.227
56,1875-09,11.132
57,1875-10,11.132
58,1875-11,11.037
59,1875-12,10.942
60,1876-01,10.847
61,1876-02,10.847
62,1876-03,10.847
63,1876-04,10.751
64,1876-05,10.371
65,1876-06,10.085
66,1876-07,10.085
67,1876-08,10.181
68,1876-09,10.276
69,1876-10,10.466
70,1876-11,10.561
71,1876-12,10.751
72,1877-01,10.942
73,1877-02,10.656
74,1877-03,10.181
75,1877-04,10.466
76,1877-05,10.656
77,1877-06,10.085
78,1877-07,10.181
79,1877-08,9.8
80,1877-09,9.705
81,1877-10,9.705
82,1877-11,9.515
83,1877-12,9.515
84,1878-01,9.229
85,1878-02,9.134
86,1878-03,8.944
87,1878-04,8.849
88,1878-05,8.563
89,1878-06,8.373
90,1878-07,8.468
91,1878-08,8.563
92,1878-09,8.563
93,1878-10,8.468
94,1878-11,8.373
95,1878-12,8.183
96,1879-01,8.278
97,1879-02,8.373
98,1879-03,8.278
99,1879-04,8.183
100,1879-05,8.183
101,1879-06,8.087
102,1879-07,8.183
103,1879-08,8.183
104,1879-09,8.468
105,1879-10,8.944
106,1879-11,9.419
107,1879-12,9.705
108,1880-01,9.99
109,1880-02,9.99
110,1880-03,10.085
111,1880-04,9.705
112,1880-05,9.419
113,1880-06,9.229
114,1880-07,9.229
115,1880-08,9.229
116,1880-09,9.324
117,1880-10,9.324
118,1880-11,9.419
119,1880-12,9.515
120,1881-01,9.419
121,1881-02,9.515
122,1881-03,9.515
123,1881-04,9.61
124,1881-05,9.515
125,1881-06,9.515
126,1881-07,9.61
127,1881-08,9.8
128,1881-09,10.181
129,1881-10,10.276
130,1881-11,10.181
131,1881-12,10.181
132,1882-01,10.181
133,1882-02,10.276
134,1882-03,10.276
135,1882-04,10.371
136,1882-05,10.466
137,1882-06,10.561
138,1882-07,10.466
139,1882-08,10.561
140,1882-09,10.276
141,1882-10,10.181
142,1882-11,10.085
143,1882-12,9.99
144,1883-01,9.99
145,1883-02,10.085
146,1883-03,9.99
147,1883-04,9.895
148,1883-05,9.8
149,1883-06,9.515
150,1883-07,9.324
151,1883-08,9.324
152,1883-09,9.229
153,1883-10,9.229
154,1883-11,9.134
155,1883-12,9.229
156,1884-01,9.229
157,1884-02,9.229
158,1884-03,9.229
159,1884-04,9.039
160,1884-05,8.849
161,1884-06,8.849
162,1884-07,8.753
163,1884-08,8.753
164,1884-09,8.658
165,1884-10,8.563
166,1884-11,8.373
167,1884-12,8.278
168,1885-01,8.278
169,1885-02,8.373
170,1885-03,8.183
171,1885-04,8.278
172,1885-05,8.087
173,1885-06,7.897
174,1885-07,7.992
175,1885-08,7.992
176,1885-09,7.897
177,1885-10,7.897
178,1885-11,7.992
179,1885-12,8.183
180,1886-01,7.992
181,1886-02,7.992
182,1886-03,7.897
183,1886-04,7.802
184,1886-05,7.612
185,1886-06,7.517
186,1886-07,7.612
187,1886-08,7.707
188,1886-09,7.707
189,1886-10,7.707
190,1886-11,7.707
191,1886-12,7.802
192,1887-01,7.992
193,1887-02,8.087
194,1887-03,8.087
195,1887-04,8.087
196,1887-05,8.087
197,1887-06,7.992
198,1887-07,7.897
199,1887-08,7.992
200,1887-09,7.897
201,1887-10,7.992
202,1887-11,8.087
203,1887-12,8.278
204,1888-01,8.373
205,1888-02,8.278
206,1888-03,8.278
207,1888-04,8.183
208,1888-05,8.087
209,1888-06,7.992
210,1888-07,8.087
211,1888-08,8.087
212,1888-09,8.087
213,1888-10,8.183
214,1888-11,8.278
215,1888-12,8.278
216,1889-01,7.992
217,1889-02,7.897
218,1889-03,7.802
219,1889-04,7.802
220,1889-05,7.612
221,1889-06,7.612
222,1889-07,7.612
223,1889-08,7.612
224,1889-09,7.707
225,1889-10,7.707
226,1889-11,7.707
227,1889-12,7.802
228,1890-01,7.612
229,1890-02,7.612
230,1890-03,7.612
231,1890-04,7.612
232,1890-05,7.707
233,1890-06,7.707
234,1890-07,7.707
235,1890-08,7.992
236,1890-09,8.087
237,1890-10,8.087
238,1890-11,7.897
239,1890-12,7.897
240,1891-01,7.802
241,1891-02,7.897
242,1891-03,7.992
243,1891-04,8.087
244,1891-05,7.992
245,1891-06,7.802
246,1891-07,7.707
247,1891-08,7.707
248,1891-09,7.612
249,1891-10,7.612
250,1891-11,7.517
251,1891-12,7.517
252,1892-01,7.326
253,1892-02,7.326
254,1892-03,7.136
255,1892-04,7.041
256,1892-05,7.041
257,1892-06,7.041
258,1892-07,7.231
259,1892-08,7.326
260,1892-09,7.326
261,1892-10,7.326
262,1892-11,7.517
263,1892-12,7.612
264,1893-01,7.897
265,1893-02,7.992
266,1893-03,7.802
267,1893-04,7.707
268,1893-05,7.612
269,1893-06,7.421
270,1893-07,7.231
271,1893-08,6.946
272,1893-09,7.231
273,1893-10,7.326
274,1893-11,7.136
275,1893-12,7.041
276,1894-01,6.85
277,1894-02,6.755
278,1894-03,6.565
279,1894-04,6.565
280,1894-05,6.565
281,1894-06,6.565
282,1894-07,6.565
283,1894-08,6.755
284,1894-09,6.85
285,1894-10,6.66
286,1894-11,6.66
287,1894-12,6.565
288,1895-01,6.565
289,1895-02,6.565
290,1895-03,6.565
291,1895-04,6.85
292,1895-05,6.946
293,1895-06,7.041
294,1895-07,6.946
295,1895-08,6.85
296,1895-09,6.85
297,1895-10,6.85
298,1895-11,6.85
299,1895-12,6.755
300,1896-01,6.66
301,1896-02,6.565
302,1896-03,6.565
303,1896-04,6.47
304,1896-05,6.375
305,1896-06,6.28
306,1896-07,6.28
307,1896-08,6.28
308,1896-09,6.28
309,1896-10,6.47
310,1896-11,6.66
311,1896-12,6.66
312,1897-01,6.47
313,1897-02,6.47
314,1897-03,6.47
315,1897-04,6.375
316,1897-05,6.28
317,1897-06,6.28
318,1897-07,6.28
319,1897-08,6.565
320,1897-09,6.755
321,1897-10,6.66
322,1897-11,6.66
323,1897-12,6.66
324,1898-01,6.66
325,1898-02,6.755
326,1898-03,6.755
327,1898-04,6.755
328,1898-05,7.231
329,1898-06,6.755
330,1898-07,6.66
331,1898-08,6.66
332,1898-09,6.66
333,1898-10,6.66
334,1898-11,6.66
335,1898-12,6.755
336,1899-01,6.755
337,1899-02,6.946
338,1899-03,6.946
339,1899-04,7.041
340,1899-05,7.041
341,1899-06,7.136
342,1899-07,7.231
343,1899-08,7.326
344,1899-09,7.612
345,1899-10,7.707
346,1899-11,7.802
347,1899-12,7.897
348,1900-01,7.897
349,1900-02,7.992
350,1900-03,7.992
351,1900-04,7.992
352,1900-05,7.802
353,1900-06,7.707
354,1900-07,7.802
355,1900-08,7.707
356,1900-09,7.802
357,1900-10,7.707
358,1900-11,7.707
359,1900-12,7.612
360,1901-01,7.707
361,1901-02,7.612
362,1901-03,7.612
363,1901-04,7.517
364,1901-05,7.517
365,1901-06,7.517
366,1901-07,7.612
367,1901-08,7.707
368,1901-09,7.802
369,1901-10,7.802
370,1901-11,7.897
371,1901-12,7.992
372,1902-01,7.897
373,1902-02,7.897
374,1902-03,7.897
375,1902-04,7.992
376,1902-05,8.087
377,1902-06,8.183
378,1902-07,8.183
379,1902-08,8.087
380,1902-09,8.183
381,1902-10,8.753
382,1902-11,8.468
383,1902-12,8.563
384,1903-01,8.658
385,1903-02,8.658
386,1903-03,8.373
387,1903-04,8.373
388,1903-05,8.183
389,1903-06,8.183
390,1903-07,8.183
391,1903-08,8.183
392,1903-09,8.278
393,1903-10,8.183
394,1903-11,8.087
395,1903-12,8.087
396,1904-01,8.278
397,1904-02,8.468
398,1904-03,8.373
399,1904-04,8.278
400,1904-05,8.087
401,1904-06,8.087
