year,age_at_end,description,cost_in_2025_dollars
2019,23,n/a,0.00
2020,24,n/a,0.00
2021,25,n/a,0.00
2022,26,n/a,0.00
2023,27,n/a,0.00
2024,28,n/a,0.00
2025,29,n/a,0.00
2026,30,car,31500.00
2027,31,n/a,0.00
2028,32,n/a,0.00
2029,33,n/a,0.00
2030,34,n/a,0.00
2031,35,n/a,0.00
2032,36,n/a,0.00
2033,37,interior,100000.00
2034,38,n/a,0.00
2035,39,n/a,0.00
2036,40,n/a,0.00
2037,41,house defray,235473.45
2038,42,house defray,225662.06
2039,43,house defray,215850.67
2040,44,house defray,206039.27
2041,45,car,32000.00
