year,max_contribution,max_catchup_contribution,contribution_income_cap,rollover_income_cap
1998,2000.00,0.00,95000.00,100000.00
1999,2000.00,0.00,95000.00,100000.00
2000,2000.00,0.00,95000.00,100000.00
2001,2000.00,0.00,95000.00,100000.00
2002,3000.00,500.00,95000.00,100000.00
2003,3000.00,500.00,95000.00,100000.00
2004,3000.00,500.00,95000.00,100000.00
2005,4000.00,500.00,95000.00,100000.00
2006,4000.00,1000.00,95000.00,100000.00
2007,4000.00,1000.00,99000.00,100000.00
2008,5000.00,1000.00,101000.00,100000.00
2009,5000.00,1000.00,105000.00,100000.00
2010,5000.00,1000.00,105000.00,none
2011,5000.00,1000.00,107000.00,none
2012,5000.00,1000.00,110000.00,none
2013,5500.00,1000.00,112000.00,none
2014,5500.00,1000.00,114000.00,none
2015,5500.00,1000.00,116000.00,none
2016,5500.00,1000.00,117000.00,none
2017,5500.00,1000.00,118000.00,none
2018,5500.00,1000.00,120000.00,none
2019,6000.00,1000.00,122000.00,none
2020,6000.00,1000.00,124000.00,none
2021,6000.00,1000.00,125000.00,none
2022,6000.00,1000.00,129000.00,none
2023,6500.00,1000.00,138000.00,none
2024,7000.00,1000.00,146000.00,none
2025,7000.00,1000.00,150000.00,none
