year,max_contribution,max_catchup_contribution,spousal_max_contribution,deductibility_income_cap
1975,1500.00,0.00,0.00,1500.00
1976,1500.00,0.00,0.00,1500.00
1977,1500.00,0.00,250.00,1500.00
1978,1500.00,0.00,250.00,1500.00
1979,1500.00,0.00,250.00,1500.00
1980,1500.00,0.00,250.00,1500.00
1981,1500.00,0.00,250.00,1500.00
1982,2000.00,0.00,250.00,2000.00
1983,2000.00,0.00,250.00,2000.00
1984,2000.00,0.00,250.00,2000.00
1985,2000.00,0.00,250.00,2000.00
1986,2000.00,0.00,250.00,0.00
1987,2000.00,0.00,250.00,0.00
1988,2000.00,0.00,250.00,0.00
1989,2000.00,0.00,250.00,0.00
1990,2000.00,0.00,250.00,0.00
1991,2000.00,0.00,250.00,0.00
1992,2000.00,0.00,250.00,0.00
1993,2000.00,0.00,250.00,0.00
1994,2000.00,0.00,250.00,0.00
1995,2000.00,0.00,250.00,0.00
1996,2000.00,0.00,250.00,0.00
1997,2000.00,0.00,2000.00,0.00
1998,2000.00,0.00,2000.00,30000.00
1999,2000.00,0.00,2000.00,31000.00
2000,2000.00,0.00,2000.00,32000.00
2001,2000.00,0.00,2000.00,33000.00
2002,3000.00,500.00,3000.00,34000.00
2003,3000.00,500.00,3000.00,40000.00
2004,3000.00,500.00,3000.00,45000.00
2005,4000.00,500.00,4000.00,50000.00
2006,4000.00,1000.00,4000.00,50000.00
2007,4000.00,1000.00,4000.00,52000.00
2008,5000.00,1000.00,5000.00,53000.00
2009,5000.00,1000.00,5000.00,55000.00
2010,5000.00,1000.00,5000.00,56000.00
2011,5000.00,1000.00,5000.00,56000.00
2012,5000.00,1000.00,5000.00,58000.00
2013,5500.00,1000.00,5500.00,59000.00
2014,5500.00,1000.00,5500.00,60000.00
2015,5500.00,1000.00,5500.00,61000.00
2016,5500.00,1000.00,5500.00,61000.00
2017,5500.00,1000.00,5500.00,62000.00
2018,5500.00,1000.00,5500.00,63000.00
2019,6000.00,1000.00,6000.00,64000.00
2020,6000.00,1000.00,6000.00,65000.00
2021,6000.00,1000.00,6000.00,66000.00
2022,6000.00,1000.00,6000.00,68000.00
2023,6500.00,1000.00,6500.00,73000.00
2024,7000.00,1000.00,7000.00,77000.00
2025,7000.00,1000.00,7000.00,79000.00
