date,mid_cap_price,small_cap_price
1871-01,35.40,35.40
1871-02,35.89,35.89
1871-03,36.79,36.79
1871-04,37.88,37.88
1871-05,38.77,38.77
1871-06,38.47,38.47
1871-07,37.78,37.78
1871-08,38.17,38.17
1871-09,38.57,38.57
1871-10,36.59,36.59
1871-11,36.99,36.99
1871-12,37.88,37.88
1872-01,38.77,38.77
1872-02,38.97,38.97
1872-03,40.16,40.16
1872-04,41.35,41.35
1872-05,41.35,41.35
1872-06,40.95,40.95
1872-07,40.65,40.65
1872-08,40.16,40.16
1872-09,39.56,39.56
1872-10,39.67,39.67
1872-11,39.56,39.56
1872-12,40.45,40.45
1873-01,40.75,40.75
1873-02,41.15,41.15
1873-03,40.75,40.75
1873-04,40.16,40.16
1873-05,40.26,40.26
1873-06,39.76,39.76
1873-07,39.67,39.67
1873-08,39.67,39.67
1873-09,36.59,36.59
1873-10,33.41,33.41
1873-11,32.22,32.22
1873-12,35.30,35.30
1874-01,37.19,37.19
1874-02,38.28,38.28
1874-03,37.78,37.78
1874-04,36.69,36.69
1874-05,35.80,35.80
1874-06,35.60,35.60
1874-07,35.60,35.60
1874-08,35.69,35.69
1874-09,36.29,36.29
1874-10,36.19,36.19
1874-11,36.39,36.39
1874-12,36.29,36.29
1875-01,36.29,36.29
1875-02,36.19,36.19
1875-03,36.59,36.59
1875-04,37.08,37.08
1875-05,35.69,35.69
1875-06,34.90,34.90
1875-07,35.00,35.00
1875-08,35.20,35.20
1875-09,34.80,34.80
1875-10,34.31,34.31
1875-11,34.80,34.80
1875-12,34.80,34.80
1876-01,35.60,35.60
1876-02,36.09,36.09
1876-03,36.00,36.00
1876-04,34.61,34.61
1876-05,33.32,33.32
1876-06,33.12,33.12
1876-07,32.72,32.72
1876-08,31.33,31.33
1876-09,29.45,29.45
1876-10,29.25,29.25
1876-11,28.76,28.76
1876-12,28.56,28.56
1877-01,28.36,28.36
1877-02,26.67,26.67
1877-03,25.29,25.29
1877-04,23.50,23.50
1877-05,23.50,23.50
1877-06,21.82,21.82
1877-07,22.70,22.70
1877-08,24.29,24.29
1877-09,25.78,25.78
1877-10,26.37,26.37
1877-11,25.98,25.98
1877-12,25.88,25.88
1878-01,25.88,25.88
1878-02,25.38,25.38
1878-03,25.78,25.78
1878-04,26.57,26.57
1878-05,26.67,26.67
1878-06,27.26,27.26
1878-07,27.77,27.77
1878-08,27.46,27.46
1878-09,28.06,28.06
1878-10,27.77,27.77
1878-11,27.66,27.66
1878-12,27.46,27.46
1879-01,28.56,28.56
1879-02,29.55,29.55
1879-03,29.15,29.15
1879-04,30.05,30.05
1879-05,31.44,31.44
1879-06,31.73,31.73
1879-07,32.22,32.22
1879-08,32.52,32.52
1879-09,33.72,33.72
1879-10,37.38,37.38
1879-11,39.36,39.36
1879-12,39.27,39.27
1880-01,40.75,40.75
1880-02,41.55,41.55
1880-03,42.24,42.24
1880-04,41.35,41.35
1880-05,38.08,38.08
1880-06,38.17,38.17
1880-07,39.96,39.96
1880-08,41.44,41.44
1880-09,41.35,41.35
1880-10,42.54,42.54
1880-11,44.82,44.82
1880-12,46.60,46.60
1881-01,49.38,49.38
1881-02,49.18,49.18
1881-03,49.78,49.78
1881-04,49.67,49.67
1881-05,51.86,51.86
1881-06,52.46,52.46
1881-07,50.67,50.67
1881-08,49.48,49.48
1881-09,49.87,49.87
1881-10,49.08,49.08
1881-11,49.38,49.38
1881-12,47.99,47.99
1882-01,47.20,47.20
1882-02,46.20,46.20
1882-03,46.11,46.11
1882-04,46.11,46.11
1882-05,45.51,45.51
1882-06,45.31,45.31
1882-07,47.89,47.89
1882-08,49.28,49.28
1882-09,49.78,49.78
1882-10,48.48,48.48
1882-11,46.40,46.40
1882-12,46.60,46.60
1883-01,46.40,46.40
1883-02,45.31,45.31
1883-03,45.91,45.91
1883-04,46.90,46.90
1883-05,46.00,46.00
1883-06,46.51,46.51
1883-07,45.71,45.71
1883-08,43.63,43.63
1883-09,44.12,44.12
1883-10,42.93,42.93
1883-11,43.52,43.52
1883-12,42.64,42.64
1884-01,41.35,41.35
1884-02,42.44,42.44
1884-03,42.24,42.24
1884-04,40.56,40.56
1884-05,37.08,37.08
1884-06,35.60,35.60
1884-07,35.60,35.60
1884-08,37.88,37.88
1884-09,36.59,36.59
1884-10,35.40,35.40
1884-11,34.70,34.70
1884-12,34.61,34.61
1885-01,33.81,33.81
1885-02,34.85,34.85
1885-03,34.93,34.93
1885-04,34.85,34.85
1885-05,34.45,34.45
1885-06,34.29,34.29
1885-07,35.57,35.57
1885-08,37.56,37.56
1885-09,37.08,37.08
1885-10,39.23,39.23
1885-11,41.79,41.79
1885-12,41.47,41.47
1886-01,41.47,41.47
1886-02,42.26,42.26
1886-03,41.39,41.39
1886-04,40.83,40.83
1886-05,40.03,40.03
1886-06,41.87,41.87
1886-07,42.50,42.50
1886-08,42.82,42.82
1886-09,43.94,43.94
1886-10,45.06,45.06
1886-11,46.17,46.17
1886-12,44.98,44.98
1887-01,44.50,44.50
1887-02,44.18,44.18
1887-03,45.22,45.22
1887-04,46.25,46.25
1887-05,47.05,47.05
1887-06,45.69,45.69
1887-07,44.58,44.58
1887-08,43.46,43.46
1887-09,42.90,42.90
1887-10,41.47,41.47
1887-11,42.26,42.26
1887-12,42.03,42.03
1888-01,42.34,42.34
1888-02,42.11,42.11
1888-03,40.51,40.51
1888-04,40.67,40.67
1888-05,41.23,41.23
1888-06,39.95,39.95
1888-07,40.99,40.99
1888-08,41.87,41.87
1888-09,42.90,42.90
1888-10,42.66,42.66
1888-11,41.79,41.79
1888-12,40.99,40.99
1889-01,41.79,41.79
1889-02,42.26,42.26
1889-03,41.39,41.39
1889-04,41.31,41.31
1889-05,42.42,42.42
1889-06,43.14,43.14
1889-07,42.26,42.26
1889-08,42.82,42.82
1889-09,43.86,43.86
1889-10,43.06,43.06
1889-11,42.66,42.66
1889-12,42.42,42.42
1890-01,42.90,42.90
1890-02,42.42,42.42
1890-03,42.11,42.11
1890-04,42.98,42.98
1890-05,44.82,44.82
1890-06,44.50,44.50
1890-07,44.18,44.18
1890-08,43.14,43.14
1890-09,42.42,42.42
1890-10,40.51,40.51
1890-11,37.56,37.56
1890-12,36.68,36.68
1891-01,38.60,38.60
1891-02,39.07,39.07
1891-03,38.36,38.36
1891-04,39.63,39.63
1891-05,39.47,39.47
1891-06,38.68,38.68
1891-07,38.04,38.04
1891-08,39.31,39.31
1891-09,42.50,42.50
1891-10,42.50,42.50
1891-11,41.87,41.87
1891-12,43.14,43.14
1892-01,43.94,43.94
1892-02,44.02,44.02
1892-03,44.50,44.50
1892-04,44.42,44.42
1892-05,44.42,44.42
1892-06,44.18,44.18
1892-07,44.18,44.18
1892-08,44.82,44.82
1892-09,43.70,43.70
1892-10,44.58,44.58
1892-11,44.42,44.42
1892-12,43.94,43.94
1893-01,44.74,44.74
1893-02,43.94,43.94
1893-03,42.34,42.34
1893-04,42.34,42.34
1893-05,38.60,38.60
1893-06,36.76,36.76
1893-07,33.33,33.33
1893-08,32.54,32.54
1893-09,34.85,34.85
1893-10,35.89,35.89
1893-11,36.44,36.44
1893-12,35.17,35.17
1894-01,34.45,34.45
1894-02,34.93,34.93
1894-03,35.96,35.96
1894-04,36.44,36.44
1894-05,35.09,35.09
1894-06,34.61,34.61
1894-07,33.89,33.89
1894-08,35.17,35.17
1894-09,35.73,35.73
1894-10,34.61,34.61
1894-11,34.61,34.61
1894-12,34.29,34.29
1895-01,33.89,33.89
