date,price,dividends,earnings,cpi,long_term_interest_rate,corporate_tax_rate
1871-01,4.44,0.2600,0.40,12.464,5.32,0.00
1871-02,4.50,0.2600,0.40,12.845,5.32,0.00
1871-03,4.61,0.2600,0.40,13.035,5.33,0.00
1871-04,4.75,0.2600,0.40,12.559,5.33,0.00
1871-05,4.86,0.2600,0.40,12.274,5.33,0.00
1871-06,4.82,0.2600,0.40,12.083,5.34,0.00
1871-07,4.74,0.2600,0.40,12.083,5.34,0.00
1871-08,4.79,0.2600,0.40,11.893,5.34,0.00
1871-09,4.84,0.2600,0.40,12.179,5.35,0.00
1871-10,4.59,0.2600,0.40,12.369,5.35,0.00
1871-11,4.64,0.2600,0.40,12.369,5.35,0.00
1871-12,4.75,0.2600,0.40,12.654,5.36,0.00
1872-01,4.86,0.2633,0.40,12.654,5.36,0.00
1872-02,4.89,0.2667,0.41,12.654,5.38,0.00
1872-03,5.04,0.2700,0.41,12.845,5.40,0.00
1872-04,5.19,0.2733,0.41,13.130,5.42,0.00
1872-05,5.19,0.2767,0.41,13.130,5.43,0.00
1872-06,5.14,0.2800,0.42,13.035,5.45,0.00
1872-07,5.10,0.2833,0.42,12.845,5.47,0.00
1872-08,5.04,0.2867,0.42,12.940,5.49,0.00
1872-09,4.96,0.2900,0.42,13.035,5.51,0.00
1872-10,4.97,0.2933,0.43,12.749,5.53,0.00
1872-11,4.96,0.2967,0.43,13.130,5.54,0.00
1872-12,5.07,0.3000,0.43,12.940,5.56,0.00
1873-01,5.11,0.3025,0.43,12.940,5.58,0.00
1873-02,5.16,0.3050,0.44,13.225,5.57,0.00
1873-03,5.11,0.3075,0.44,13.225,5.56,0.00
1873-04,5.04,0.3100,0.44,13.225,5.55,0.00
1873-05,5.05,0.3125,0.44,12.940,5.54,0.00
1873-06,4.99,0.3150,0.45,12.559,5.53,0.00
1873-07,4.97,0.3175,0.45,12.559,5.53,0.00
1873-08,4.97,0.3200,0.45,12.559,5.52,0.00
1873-09,4.59,0.3225,0.45,12.559,5.51,0.00
1873-10,4.19,0.3250,0.46,12.274,5.50,0.00
1873-11,4.04,0.3275,0.46,11.893,5.49,0.00
1873-12,4.43,0.3300,0.46,12.179,5.48,0.00
1874-01,4.66,0.3300,0.46,12.369,5.47,0.00
1874-02,4.80,0.3300,0.46,12.369,5.44,0.00
1874-03,4.74,0.3300,0.46,12.369,5.40,0.00
1874-04,4.60,0.3300,0.46,12.179,5.37,0.00
1874-05,4.49,0.3300,0.46,12.083,5.34,0.00
1874-06,4.46,0.3300,0.46,11.798,5.30,0.00
1874-07,4.46,0.3300,0.46,11.893,5.27,0.00
1874-08,4.48,0.3300,0.46,11.798,5.24,0.00
1874-09,4.55,0.3300,0.46,11.798,5.20,0.00
1874-10,4.54,0.3300,0.46,11.608,5.17,0.00
1874-11,4.56,0.3300,0.46,11.513,5.14,0.00
1874-12,4.55,0.3300,0.46,11.513,5.10,0.00
1875-01,4.55,0.3275,0.45,11.513,5.07,0.00
1875-02,4.54,0.3250,0.44,11.513,5.03,0.00
1875-03,4.59,0.3225,0.44,11.513,4.99,0.00
1875-04,4.65,0.3200,0.43,11.608,4.95,0.00
1875-05,4.48,0.3175,0.42,11.322,4.91,0.00
1875-06,4.38,0.3150,0.41,11.132,4.87,0.00
1875-07,4.39,0.3125,0.40,11.132,4.83,0.00
1875-08,4.41,0.3100,0.39,11.227,4.79,0.00
1875-09,4.36,0.3075,0.39,11.132,4.75,0.00
