year,nominal_gdp_billions,gdp_deflator_2024,variant_gdp_deflator_2024,population_thousands
1790,0.19,3.046598,3.098294,3929
1791,0.21,3.181996,3.178147,4048
1792,0.23,3.244907,3.234044,4171
1793,0.26,3.397997,3.345838,4297
1794,0.32,3.697965,3.713162,4428
1795,0.39,4.248656,4.248176,4562
1796,0.42,4.442150,4.471765,4700
1797,0.41,4.257439,4.304073,4843
1798,0.42,4.187045,4.168323,4990
1799,0.45,4.197876,4.168323,5141
1800,0.49,4.323529,4.288103,5297
1801,0.52,4.375503,4.375941,5486
1802,0.46,3.752028,3.721147,5679
1803,0.49,3.932456,3.952720,5872
1804,0.54,4.170269,4.160338,6065
1805,0.57,4.179630,4.160338,6258
1806,0.62,4.342879,4.367956,6451
1807,0.60,4.199103,4.168323,6644
1808,0.65,4.537099,4.559603,6838
1809,0.69,4.475916,4.503706,7031
1810,0.71,4.361199,4.383926,7224
1811,0.78,4.583171,4.559603,7460
1812,0.79,4.464531,4.495720,7700
1813,0.98,5.241519,5.238353,7939
1814,1.09,5.593811,5.597691,8179
1815,0.94,4.787102,4.759235,8419
1816,0.83,4.226909,4.216235,8659
1817,0.78,3.880704,3.864882,8899
1818,0.75,3.601305,3.577412,9139
1819,0.73,3.439094,3.457632,9379
1820,0.72,3.261152,3.250015,9618
1821,0.74,3.185508,3.194118,9939
1822,0.82,3.390959,3.377779,10268
1823,0.77,3.083589,3.074338,10596
1824,0.76,2.870777,2.874706,10924
1825,0.83,2.996290,3.002470,11252
1826,0.88,3.069925,3.058368,11580
1827,0.93,3.149416,3.138220,11909
1828,0.91,3.037883,3.026426,12237
1829,0.94,3.024245,3.026426,12565
1830,1.03,3.036121,3.042397,12901
1831,1.06,2.882974,2.898662,13321
1832,1.14,2.904670,2.906647,13742
1833,1.17,2.890716,2.898662,14162
1834,1.23,2.989927,2.994485,14582
1835,1.36,3.134199,3.130235,15003
1836,1.50,3.360814,3.353823,15423
1837,1.57,3.482475,3.489573,15843
1838,1.62,3.450567,3.449647,16264
1839,1.69,3.504323,3.497559,16684
1840,1.59,3.302111,3.297926,17123
1841,1.68,3.393699,3.393750,17733
1842,1.65,3.223816,3.218073,18345
1843,1.60,2.978893,2.970529,18957
1844,1.74,3.050365,3.050382,19569
1845,1.90,3.136667,3.138220,20182
1846,2.11,3.214839,3.218073,20794
1847,2.48,3.523760,3.521515,21406
1848,2.50,3.433058,3.425691,22018
1849,2.49,3.372351,3.369794,22631
1850,2.66,3.442049,3.433676,23261
1851,2.80,3.357685,3.353823,24086
