date,modified
1871-01,0.04
1871-02,0.04
1871-03,0.05
1871-04,0.05
1871-05,0.05
1871-06,0.05
1871-07,0.05
1871-08,0.05
1871-09,0.05
1871-10,0.05
1871-11,0.05
1871-12,0.05
1872-01,0.05
1872-02,0.05
1872-03,0.05
1872-04,0.05
1872-05,0.05
1872-06,0.05
1872-07,0.05
1872-08,0.05
1872-09,0.05
1872-10,0.05
1872-11,0.05
1872-12,0.05
1873-01,0.06
1873-02,0.06
1873-03,0.06
1873-04,0.06
1873-05,0.06
1873-06,0.06
1873-07,0.06
1873-08,0.06
1873-09,0.05
1873-10,0.05
1873-11,0.05
1873-12,0.05
1874-01,0.05
1874-02,0.06
1874-03,0.06
1874-04,0.05
1874-05,0.05
1874-06,0.05
1874-07,0.05
1874-08,0.05
1874-09,0.05
1874-10,0.06
1874-11,0.06
1874-12,0.06
1875-01,0.06
1875-02,0.06
1875-03,0.06
1875-04,0.06
1875-05,0.06
1875-06,0.06
1875-07,0.06
1875-08,0.06
1875-09,0.06
1875-10,0.06
1875-11,0.06
1875-12,0.06
1876-01,0.06
1876-02,0.06
1876-03,0.06
1876-04,0.06
1876-05,0.06
1876-06,0.06
1876-07,0.06
1876-08,0.05
1876-09,0.05
1876-10,0.05
1876-11,0.05
1876-12,0.05
1877-01,0.05
1877-02,0.05
1877-03,0.05
1877-04,0.04
1877-05,0.04
1877-06,0.04
1877-07,0.04
1877-08,0.04
1877-09,0.05
1877-10,0.05
1877-11,0.05
1877-12,0.05
1878-01,0.05
1878-02,0.05
1878-03,0.05
1878-04,0.05
1878-05,0.05
1878-06,0.05
1878-07,0.05
1878-08,0.05
1878-09,0.05
1878-10,0.05
1878-11,0.05
1878-12,0.05
1879-01,0.06
1879-02,0.06
1879-03,0.06
1879-04,0.06
1879-05,0.06
1879-06,0.06
1879-07,0.06
1879-08,0.07
1879-09,0.07
1879-10,0.08
1879-11,0.08
1879-12,0.08
1880-01,0.08
1880-02,0.09
1880-03,0.09
1880-04,0.09
1880-05,0.08
1880-06,0.08
1880-07,0.08
1880-08,0.09
1880-09,0.09
1880-10,0.09
1880-11,0.10
1880-12,0.10
1881-01,0.11
1881-02,0.11
1881-03,0.11
1881-04,0.11
1881-05,0.11
1881-06,0.11
1881-07,0.11
1881-08,0.11
1881-09,0.11
1881-10,0.11
1881-11,0.11
1881-12,0.11
1882-01,0.11
1882-02,0.10
1882-03,0.10
1882-04,0.10
1882-05,0.10
1882-06,0.10
1882-07,0.11
