date,median_income
1953-01,3392.34
1953-02,3387.34
1953-03,3382.34
1953-04,3377.34
1953-05,3372.34
1953-06,3367.35
1953-07,3362.35
1953-08,3357.35
1953-09,3352.35
1953-10,3347.35
1953-11,3342.36
1953-12,3337.36
1954-01,3332.36
1954-02,3349.09
1954-03,3365.81
1954-04,3382.54
1954-05,3399.27
1954-06,3416.00
1954-07,3432.72
1954-08,3449.45
1954-09,3466.18
1954-10,3482.90
1954-11,3499.63
1954-12,3516.36
1955-01,3533.09
1955-02,3557.21
1955-03,3581.33
1955-04,3605.46
1955-05,3629.58
1955-06,3653.71
1955-07,3677.83
1955-08,3701.96
1955-09,3726.08
1955-10,3750.20
1955-11,3774.33
1955-12,3798.45
1956-01,3822.58
1956-02,3834.97
1956-03,3847.37
1956-04,3859.76
1956-05,3872.16
1956-06,3884.55
1956-07,3896.95
1956-08,3909.35
1956-09,3921.74
1956-10,3934.14
1956-11,3946.53
1956-12,3958.93
1957-01,3971.32
1957-02,3979.39
1957-03,3987.45
1957-04,3995.51
1957-05,4003.58
1957-06,4011.64
1957-07,4019.70
1957-08,4027.77
1957-09,4035.83
1957-10,4043.90
1957-11,4051.96
1957-12,4060.02
1958-01,4068.09
1958-02,4090.08
1958-03,4112.07
1958-04,4134.06
1958-05,4156.05
1958-06,4178.05
1958-07,4200.04
1958-08,4222.03
1958-09,4244.02
1958-10,4266.01
1958-11,4288.00
1958-12,4310.00
1959-01,4331.99
1959-02,4345.52
1959-03,4359.04
1959-04,4372.57
1959-05,4386.10
1959-06,4399.63
1959-07,4413.16
1959-08,4426.69
1959-09,4440.21
1959-10,4453.74
1959-11,4467.27
1959-12,4480.80
1960-01,4494.33
1960-02,4501.99
1960-03,4509.66
1960-04,4517.32
1960-05,4524.98
1960-06,4532.65
1960-07,4540.31
1960-08,4547.97
1960-09,4555.64
1960-10,4563.30
1960-11,4570.97
1960-12,4578.63
1961-01,4586.29
1961-02,4601.02
1961-03,4615.75
1961-04,4630.48
1961-05,4645.20
1961-06,4659.93
1961-07,4674.66
1961-08,4689.39
1961-09,4704.12
1961-10,4718.84
1961-11,4733.57
1961-12,4748.30
1962-01,4763.03
1962-02,4782.55
1962-03,4802.08
1962-04,4821.61
1962-05,4841.13
1962-06,4860.66
1962-07,4880.18
1962-08,4899.71
1962-09,4919.24
1962-10,4938.76
1962-11,4958.29
1962-12,4977.81
1963-01,4997.34
1963-02,5018.67
1963-03,5039.99
1963-04,5061.32
1963-05,5082.64
1963-06,5103.97
1963-07,5125.29
1963-08,5146.62
1963-09,5167.94
