date,median_price_all_houses,median_price_new_houses
1963-01,17800.00,17200.00
1963-02,17866.67,17700.00
1963-03,17933.33,18200.00
1963-04,18000.00,18200.00
1963-05,17966.67,17500.00
1963-06,17933.33,18000.00
1963-07,17900.00,18400.00
1963-08,18100.00,17800.00
1963-09,18300.00,17900.00
1963-10,18500.00,17600.00
1963-11,18500.00,18400.00
1963-12,18500.00,18700.00
1964-01,18500.00,17800.00
1964-02,18633.33,18000.00
1964-03,18766.67,19000.00
1964-04,18900.00,18800.00
1964-05,18900.00,19300.00
1964-06,18900.00,18800.00
1964-07,18900.00,19100.00
1964-08,19066.67,18900.00
1964-09,19233.33,18900.00
1964-10,19400.00,18900.00
1964-11,19666.67,19300.00
1964-12,19933.33,21000.00
1965-01,20200.00,20700.00
1965-02,20066.67,20400.00
1965-03,19933.33,19800.00
1965-04,19800.00,19900.00
1965-05,19933.33,19600.00
1965-06,20066.67,19800.00
1965-07,20200.00,21000.00
1965-08,20233.33,20200.00
1965-09,20266.67,19600.00
1965-10,20300.00,19900.00
1965-11,20533.33,20600.00
1965-12,20766.67,20300.00
1966-01,21000.00,21200.00
1966-02,21366.67,20900.00
1966-03,21733.33,20800.00
1966-04,22100.00,23000.00
1966-05,21900.00,22300.00
1966-06,21700.00,21200.00
1966-07,21500.00,21800.00
1966-08,21466.67,20700.00
1966-09,21433.33,22200.00
1966-10,21400.00,20800.00
1966-11,21700.00,21700.00
1966-12,22000.00,21700.00
1967-01,22300.00,22200.00
1967-02,22633.33,22400.00
1967-03,22966.67,22400.00
1967-04,23300.00,22300.00
1967-05,23033.33,23700.00
1967-06,22766.67,23900.00
1967-07,22500.00,23300.00
1967-08,22633.33,21700.00
1967-09,22766.67,22800.00
1967-10,22900.00,22300.00
1967-11,23233.33,23100.00
1967-12,23566.67,22200.00
1968-01,23900.00,23400.00
1968-02,24233.33,23500.00
1968-03,24566.67,24600.00
1968-04,24900.00,24500.00
1968-05,24866.67,25300.00
1968-06,24833.33,25400.00
1968-07,24800.00,24600.00
1968-08,25066.67,25000.00
1968-09,25333.33,25000.00
1968-10,25600.00,25600.00
1968-11,25633.33,24600.00
1968-12,25666.67,26500.00
1969-01,25700.00,24600.00
1969-02,25766.67,26000.00
1969-03,25833.33,26200.00
1969-04,25900.00,25900.00
1969-05,25900.00,26900.00
1969-06,25900.00,25200.00
1969-07,25900.00,26800.00
1969-08,25566.67,24900.00
1969-09,25233.33,26000.00
1969-10,24900.00,24400.00
1969-11,24566.67,24900.00
1969-12,24233.33,25100.00
1970-01,23900.00,23600.00
1970-02,24066.67,24100.00
1970-03,24233.33,24100.00
1970-04,24400.00,24200.00
1970-05,23933.33,25700.00
1970-06,23466.67,23800.00
1970-07,23000.00,22900.00
1970-08,22866.67,23500.00
1970-09,22733.33,22600.00
1970-10,22600.00,22100.00
1970-11,23166.67,23500.00
1970-12,23733.33,22300.00
1971-01,24300.00,23900.00
1971-02,24800.00,24500.00
1971-03,25300.00,24300.00
1971-04,25800.00,25800.00
1971-05,25633.33,25500.00
1971-06,25466.67,26100.00
1971-07,25300.00,25200.00
1971-08,25366.67,25300.00
1971-09,25433.33,25400.00
1971-10,25500.00,25600.00
1971-11,25733.33,25700.00
1971-12,25966.67,25300.00
1972-01,26200.00,24700.00
1972-02,26400.00,26500.00
1972-03,26600.00,27400.00
1972-04,26800.00,26700.00
1972-05,27166.67,27000.00
1972-06,27533.33,26800.00
1972-07,27900.00,27700.00
1972-08,28333.33,28100.00
1972-09,28766.67,28000.00
1972-10,29200.00,28900.00
1972-11,29533.33,29100.00
1972-12,29866.67,29700.00
1973-01,30200.00,29900.00
1973-02,31033.33,29700.00
1973-03,31866.67,31400.00
1973-04,32700.00,32800.00
1973-05,32966.67,32000.00
1973-06,33233.33,33100.00
1973-07,33500.00,34200.00
1973-08,33666.67,33200.00
1973-09,33833.33,33200.00
1973-10,34000.00,33300.00
1973-11,34400.00,34000.00
1973-12,34800.00,35700.00
1974-01,35200.00,34200.00
1974-02,35333.33,34900.00
1974-03,35466.67,36000.00
1974-04,35600.00,35700.00
1974-05,35800.00,35700.00
1974-06,36000.00,35100.00
1974-07,36200.00,36800.00
1974-08,36533.33,35700.00
1974-09,36866.67,36200.00
1974-10,37200.00,37200.00
1974-11,37500.00,37300.00
1974-12,37800.00,37400.00
1975-01,38100.00,37200.00
1975-02,38400.00,37900.00
1975-03,38700.00,38800.00
1975-04,39000.00,39200.00
1975-05,38933.33,39500.00
1975-06,38866.67,37900.00
1975-07,38800.00,38600.00
1975-08,39600.00,38200.00
1975-09,40400.00,39700.00
1975-10,41200.00,40700.00
1975-11,41733.33,41100.00
1975-12,42266.67,42100.00
1976-01,42800.00,41600.00
1976-02,43266.67,42700.00
1976-03,43733.33,43600.00
1976-04,44200.00,43300.00
1976-05,44266.67,43600.00
1976-06,44333.33,46100.00
1976-07,44400.00,44600.00
1976-08,44766.67,44200.00
1976-09,45133.33,44700.00
1976-10,45500.00,45300.00
1976-11,45766.67,45800.00
1976-12,46033.33,45900.00
1977-01,46300.00,45500.00
1977-02,47166.67,47400.00
1977-03,48033.33,46200.00
1977-04,48900.00,48700.00
1977-05,48866.67,49300.00
1977-06,48833.33,48700.00
1977-07,48800.00,48600.00
1977-08,49733.33,49000.00
1977-09,50666.67,48500.00
1977-10,51600.00,51400.00
1977-11,52066.67,51800.00
1977-12,52533.33,52700.00
1978-01,53000.00,52300.00
1978-02,53766.67,53200.00
1978-03,54533.33,53200.00
1978-04,55300.00,53300.00
1978-05,55566.67,55700.00
1978-06,55833.33,56700.00
1978-07,56100.00,54800.00
1978-08,57066.67,56100.00
1978-09,58033.33,57300.00
1978-10,59000.00,58300.00
1978-11,59533.33,58700.00
1978-12,60066.67,59900.00
1979-01,60600.00,60300.00
1979-02,61433.33,61200.00
1979-03,62266.67,60400.00
1979-04,63100.00,62600.00
1979-05,63633.33,62800.00
1979-06,64166.67,64200.00
1979-07,64700.00,63800.00
1979-08,64000.00,64000.00
1979-09,63300.00,66000.00
1979-10,62600.00,62300.00
1979-11,62966.67,63900.00
1979-12,63333.33,61500.00
1980-01,63700.00,62900.00
1980-02,63800.00,64900.00
1980-03,63900.00,62600.00
1980-04,64000.00,63100.00
1980-05,64300.00,63100.00
1980-06,64600.00,64900.00
1980-07,64900.00,64000.00
1980-08,65400.00,63400.00
1980-09,65900.00,68300.00
1980-10,66400.00,65600.00
1980-11,66533.33,66700.00
1980-12,66666.67,67000.00
1981-01,66800.00,67600.00
1981-02,67666.67,66200.00
1981-03,68533.33,66700.00
1981-04,69400.00,68700.00
1981-05,69333.33,70800.00
1981-06,69266.67,68800.00
1981-07,69200.00,69500.00
1981-08,69600.00,72600.00
1981-09,70000.00,65800.00
1981-10,70400.00,69600.00
1981-11,69066.67,71200.00
1981-12,67733.33,68400.00
1982-01,66400.00,66200.00
1982-02,67466.67,65700.00
1982-03,68533.33,67200.00
1982-04,69600.00,70200.00
1982-05,69500.00,69300.00
1982-06,69400.00,69300.00
1982-07,69300.00,70900.00
1982-08,70066.67,70100.00
1982-09,70833.33,67800.00
1982-10,71600.00,69700.00
1982-11,72166.67,73500.00
1982-12,72733.33,71700.00
1983-01,73300.00,73500.00
1983-02,73833.33,73800.00
1983-03,74366.67,72500.00
1983-04,74900.00,74700.00
1983-05,75733.33,74500.00
1983-06,76566.67,75800.00
1983-07,77400.00,75200.00
1983-08,76900.00,76800.00
1983-09,76400.00,81000.00
1983-10,75900.00,75900.00
1983-11,76666.67,75900.00
1983-12,77433.33,75900.00
1984-01,78200.00,76200.00
1984-02,79033.33,79200.00
1984-03,79866.67,78400.00
1984-04,80700.00,79600.00
1984-05,80800.00,81400.00
1984-06,80900.00,80500.00
1984-07,81000.00,80700.00
1984-08,80633.33,82000.00
1984-09,80266.67,81300.00
1984-10,79900.00,80100.00
1984-11,80866.67,82500.00
1984-12,81833.33,78300.00
1985-01,82800.00,82500.00
1985-02,83300.00,82000.00
1985-03,83800.00,84200.00
1985-04,84300.00,85600.00
1985-05,83933.33,80100.00
1985-06,83566.67,86300.00
1985-07,83200.00,82100.00
1985-08,84400.00,83300.00
1985-09,85600.00,84700.00
1985-10,86800.00,85400.00
1985-11,87200.00,87200.00
1985-12,87600.00,87900.00
1986-01,88000.00,86600.00
1986-02,89366.67,89700.00
1986-03,90733.33,88700.00
1986-04,92100.00,92500.00
1986-05,92400.00,92100.00
1986-06,92700.00,91200.00
1986-07,93000.00,94100.00
1986-08,93666.67,91500.00
1986-09,94333.33,95000.00
1986-10,95000.00,96400.00
1986-11,95966.67,94000.00
1986-12,96933.33,95000.00
1987-01,97900.00,98500.00
1987-02,99733.33,95200.00
1987-03,101566.67,98400.00
1987-04,103400.00,96500.00
1987-05,104266.67,104900.00
1987-06,105133.33,109000.00
1987-07,106000.00,105000.00
1987-08,107833.33,106800.00
1987-09,109666.67,106500.00
1987-10,111500.00,106500.00
1987-11,111000.00,117000.00
1987-12,110500.00,111800.00
1988-01,110000.00,119000.00
1988-02,110000.00,110900.00
1988-03,110000.00,108900.00
1988-04,110000.00,111000.00
1988-05,111666.67,110000.00
1988-06,113333.33,111500.00
1988-07,115000.00,118000.00
1988-08,114633.33,110000.00
1988-09,114266.67,116600.00
1988-10,113900.00,112900.00
1988-11,115266.67,110400.00
1988-12,116633.33,121000.00
1989-01,118000.00,113000.00
1989-02,118300.00,118000.00
1989-03,118600.00,123000.00
1989-04,118900.00,116700.00
1989-05,119266.67,119000.00
1989-06,119633.33,122800.00
1989-07,120000.00,116000.00
1989-08,121600.00,122900.00
1989-09,123200.00,120000.00
1989-10,124800.00,123000.00
1989-11,124500.00,125000.00
1989-12,124200.00,125200.00
1990-01,123900.00,125000.00
1990-02,124866.67,126900.00
1990-03,125833.33,119400.00
1990-04,126800.00,130000.00
1990-05,123533.33,125000.00
1990-06,120266.67,125000.00
1990-07,117000.00,118700.00
1990-08,118500.00,118400.00
1990-09,120000.00,113000.00
1990-10,121500.00,120000.00
1990-11,121000.00,118900.00
1990-12,120500.00,127000.00
1991-01,120000.00,117900.00
1991-02,119966.67,119900.00
1991-03,119933.33,122500.00
1991-04,119900.00,121000.00
1991-05,119933.33,116000.00
1991-06,119966.67,119000.00
1991-07,120000.00,120000.00
1991-08,120000.00,120800.00
1991-09,120000.00,120000.00
1991-10,120000.00,122600.00
1991-11,119833.33,118500.00
1991-12,119666.67,122000.00
1992-01,119500.00,120000.00
1992-02,119666.67,117200.00
1992-03,119833.33,120000.00
1992-04,120000.00,120000.00
1992-05,120000.00,113000.00
1992-06,120000.00,124500.00
1992-07,120000.00,118000.00
1992-08,122000.00,123500.00
1992-09,124000.00,119500.00
1992-10,126000.00,125000.00
1992-11,125666.67,128900.00
1992-12,125333.33,126000.00
1993-01,125000.00,118000.00
1993-02,125666.67,129400.00
1993-03,126333.33,125000.00
1993-04,127000.00,127000.00
1993-05,127000.00,129900.00
1993-06,127000.00,124500.00
1993-07,127000.00,123900.00
1993-08,127000.00,126600.00
1993-09,127000.00,129400.00
1993-10,127000.00,125000.00
1993-11,128000.00,130000.00
1993-12,129000.00,125000.00
1994-01,130000.00,126000.00
1994-02,130000.00,129900.00
1994-03,130000.00,132300.00
1994-04,130000.00,129000.00
1994-05,129900.00,129900.00
1994-06,129800.00,133500.00
1994-07,129700.00,124400.00
1994-08,130466.67,133300.00
1994-09,131233.33,129700.00
1994-10,132000.00,132000.00
1994-11,131333.33,129900.00
1994-12,130666.67,135000.00
1995-01,130000.00,127900.00
1995-02,131300.00,135000.00
1995-03,132600.00,130000.00
1995-04,133900.00,134000.00
1995-05,133266.67,133900.00
1995-06,132633.33,133700.00
1995-07,132000.00,131000.00
1995-08,134000.00,134900.00
1995-09,136000.00,130000.00
1995-10,138000.00,135200.00
1995-11,137666.67,137000.00
1995-12,137333.33,138600.00
1996-01,137000.00,131900.00
1996-02,137966.67,139400.00
1996-03,138933.33,137000.00
1996-04,139900.00,140000.00
1996-05,139933.33,136500.00
1996-06,139966.67,140000.00
1996-07,140000.00,144200.00
1996-08,141366.67,137000.00
1996-09,142733.33,139000.00
1996-10,144100.00,143800.00
1996-11,144400.00,143500.00
1996-12,144700.00,144900.00
1997-01,145000.00,145000.00
1997-02,145266.67,143000.00
1997-03,145533.33,148000.00
1997-04,145800.00,150000.00
1997-05,145533.33,141000.00
1997-06,145266.67,145000.00
1997-07,145000.00,145900.00
1997-08,144733.33,144000.00
1997-09,144466.67,146300.00
1997-10,144200.00,141500.00
1997-11,146866.67,145000.00
1997-12,149533.33,145900.00
1998-01,152200.00,148000.00
1998-02,151300.00,156000.00
1998-03,150400.00,152700.00
1998-04,149500.00,148000.00
1998-05,150666.67,153200.00
1998-06,151833.33,148000.00
1998-07,153000.00,149900.00
1998-08,153000.00,154900.00
1998-09,153000.00,155000.00
1998-10,153000.00,154500.00
1998-11,154466.67,151000.00
1998-12,155933.33,152500.00
1999-01,157400.00,153100.00
1999-02,157833.33,160000.00
1999-03,158266.67,157300.00
1999-04,158700.00,159900.00
1999-05,158833.33,154400.00
1999-06,158966.67,159300.00
1999-07,159100.00,158200.00
1999-08,161166.67,154800.00
1999-09,163233.33,163200.00
1999-10,165300.00,161100.00
1999-11,165300.00,172000.00
1999-12,165300.00,164800.00
2000-01,165300.00,163500.00
2000-02,164600.00,162400.00
2000-03,163900.00,165100.00
2000-04,163200.00,162600.00
2000-05,165066.67,164700.00
2000-06,166933.33,160100.00
2000-07,168800.00,169000.00
2000-08,170166.67,166600.00
2000-09,171533.33,171500.00
2000-10,172900.00,176300.00
2000-11,171866.67,174700.00
2000-12,170833.33,162000.00
2001-01,169800.00,171300.00
2001-02,172866.67,169100.00
2001-03,175933.33,166300.00
2001-04,179000.00,175200.00
2001-05,176833.33,175300.00
2001-06,174666.67,179400.00
2001-07,172500.00,175000.00
2001-08,172033.33,173700.00
2001-09,171566.67,166400.00
2001-10,171100.00,171300.00
2001-11,176966.67,168100.00
2001-12,182833.33,180200.00
2002-01,188700.00,187100.00
2002-02,188200.00,191100.00
2002-03,187700.00,183400.00
2002-04,187200.00,187100.00
2002-05,184166.67,181000.00
2002-06,181133.33,190600.00
2002-07,178100.00,175600.00
2002-08,182100.00,178900.00
2002-09,186100.00,177500.00
2002-10,190100.00,189200.00
2002-11,188733.33,181200.00
2002-12,187366.67,197600.00
2003-01,186000.00,181700.00
2003-02,187933.33,187000.00
2003-03,189866.67,185100.00
2003-04,191800.00,189500.00
2003-05,191833.33,195500.00
2003-06,191866.67,187900.00
2003-07,191900.00,190200.00
2003-08,194200.00,190500.00
2003-09,196500.00,192000.00
2003-10,198800.00,194100.00
2003-11,203433.33,207100.00
2003-12,208066.67,196000.00
2004-01,212700.00,209500.00
2004-02,214333.33,219600.00
2004-03,215966.67,209600.00
2004-04,217600.00,222300.00
2004-05,216233.33,211700.00
2004-06,214866.67,215700.00
2004-07,213500.00,212400.00
2004-08,218600.00,218100.00
2004-09,223700.00,211600.00
2004-10,228800.00,229200.00
2004-11,230033.33,224500.00
2004-12,231266.67,229600.00
2005-01,232500.00,223100.00
2005-02,232900.00,237300.00
2005-03,233300.00,229300.00
2005-04,233700.00,236300.00
2005-05,234600.00,228300.00
2005-06,235500.00,226100.00
2005-07,236400.00,229200.00
2005-08,238800.00,240100.00
2005-09,241200.00,240400.00
2005-10,243600.00,243900.00
2005-11,244966.67,237900.00
2005-12,246333.33,238600.00
2006-01,247700.00,244900.00
2006-02,247233.33,250800.00
2006-03,246766.67,238800.00
2006-04,246300.00,257000.00
2006-05,242733.33,238200.00
2006-06,239166.67,243200.00
2006-07,235600.00,238100.00
2006-08,238866.67,243900.00
2006-09,242133.33,226700.00
2006-10,245400.00,250400.00
2006-11,249400.00,240100.00
2006-12,253400.00,244700.00
2007-01,257400.00,254400.00
2007-02,252333.33,250800.00
2007-03,247266.67,262600.00
2007-04,242200.00,242500.00
2007-05,242066.67,245000.00
2007-06,241933.33,235500.00
2007-07,241800.00,246200.00
2007-08,240666.67,236500.00
2007-09,239533.33,240300.00
2007-10,238400.00,234300.00
2007-11,236900.00,249100.00
2007-12,235400.00,227700.00
2008-01,233900.00,232400.00
2008-02,234366.67,245300.00
2008-03,234833.33,229300.00
2008-04,235300.00,246400.00
2008-05,232366.67,229300.00
2008-06,229433.33,234300.00
2008-07,226500.00,237300.00
2008-08,225166.67,221000.00
2008-09,223833.33,225200.00
2008-10,222500.00,213200.00
2008-11,217800.00,221600.00
2008-12,213100.00,229600.00
2009-01,208400.00,208600.00
2009-02,212566.67,209700.00
2009-03,216733.33,205100.00
2009-04,220900.00,219200.00
2009-05,218700.00,222300.00
2009-06,216500.00,214700.00
2009-07,214300.00,214200.00
2009-08,215866.67,207100.00
2009-09,217433.33,216600.00
2009-10,219000.00,215100.00
2009-11,220300.00,218800.00
2009-12,221600.00,222600.00
2010-01,222900.00,218200.00
2010-02,221766.67,221900.00
2010-03,220633.33,224800.00
2010-04,219500.00,208300.00
2010-05,221033.33,230500.00
2010-06,222566.67,219500.00
2010-07,224100.00,212100.00
2010-08,224166.67,226600.00
2010-09,224233.33,228000.00
2010-10,224300.00,204200.00
2010-11,225166.67,219600.00
2010-12,226033.33,241200.00
2011-01,226900.00,240100.00
2011-02,227300.00,220100.00
2011-03,227700.00,220500.00
2011-04,228100.00,224700.00
2011-05,226566.67,222000.00
2011-06,225033.33,240200.00
2011-07,223500.00,229900.00
2011-08,222700.00,219600.00
2011-09,221900.00,217000.00
2011-10,221100.00,224800.00
2011-11,226866.67,214300.00
2011-12,232633.33,218600.00
2012-01,238400.00,221700.00
2012-02,238500.00,239900.00
2012-03,238600.00,239800.00
2012-04,238700.00,236400.00
2012-05,242066.67,239200.00
2012-06,245433.33,232600.00
2012-07,248800.00,237400.00
2012-08,249766.67,253200.00
2012-09,250733.33,254600.00
2012-10,251700.00,247200.00
2012-11,253933.33,245000.00
2012-12,256166.67,258300.00
2013-01,258400.00,251500.00
2013-02,261633.33,265100.00
2013-03,264866.67,257500.00
2013-04,268100.00,279300.00
2013-05,267000.00,263700.00
2013-06,265900.00,259800.00
2013-07,264800.00,262200.00
2013-08,267733.33,255300.00
2013-09,270666.67,269800.00
2013-10,273600.00,264300.00
2013-11,274133.33,277100.00
2013-12,274666.67,275500.00
2014-01,275200.00,269800.00
2014-02,279466.67,268400.00
2014-03,283733.33,282300.00
2014-04,288000.00,274500.00
2014-05,285666.67,285600.00
2014-06,283333.33,287000.00
2014-07,281000.00,280400.00
2014-08,286966.67,291700.00
2014-09,292933.33,261500.00
2014-10,298900.00,297000.00
2014-11,295666.67,298300.00
2014-12,292433.33,301500.00
2015-01,289200.00,292000.00
2015-02,289166.67,286600.00
2015-03,289133.33,286600.00
2015-04,289100.00,294500.00
2015-05,291333.33,287500.00
2015-06,293566.67,285100.00
2015-07,295800.00,292300.00
2015-08,298033.33,293000.00
2015-09,300266.67,299500.00
2015-10,302500.00,298000.00
2015-11,301600.00,312600.00
2015-12,300700.00,297100.00
2016-01,299800.00,288400.00
2016-02,301866.67,305800.00
2016-03,303933.33,303200.00
2016-04,306000.00,318300.00
2016-05,305266.67,295200.00
2016-06,304533.33,311200.00
2016-07,303800.00,297400.00
2016-08,306166.67,298900.00
2016-09,308533.33,314800.00
2016-10,310900.00,302800.00
2016-11,311633.33,315000.00
2016-12,312366.67,327000.00
2017-01,313100.00,315200.00
2017-02,314800.00,298000.00
2017-03,316500.00,321700.00
2017-04,318200.00,311100.00
2017-05,318966.67,323600.00
2017-06,319733.33,315200.00
2017-07,320500.00,322900.00
2017-08,326300.00,314200.00
2017-09,332100.00,331500.00
2017-10,337900.00,319500.00
2017-11,335866.67,343400.00
2017-12,333833.33,343300.00
2018-01,331800.00,329600.00
2018-02,326400.00,327200.00
2018-03,321000.00,335400.00
2018-04,315600.00,314400.00
2018-05,320700.00,316700.00
2018-06,325800.00,310500.00
2018-07,330900.00,327500.00
2018-08,328200.00,321400.00
2018-09,325500.00,328300.00
2018-10,322800.00,328300.00
2018-11,319533.33,308500.00
2018-12,316266.67,329700.00
2019-01,313000.00,305400.00
2019-02,316166.67,320800.00
2019-03,319333.33,310600.00
2019-04,322500.00,339000.00
2019-05,321133.33,312700.00
2019-06,319766.67,311800.00
2019-07,318400.00,308300.00
2019-08,321300.00,327000.00
2019-09,324200.00,315700.00
2019-10,327100.00,322400.00
2019-11,327733.33,328000.00
2019-12,328366.67,329500.00
2020-01,329000.00,328900.00
2020-02,325033.33,331800.00
2020-03,321066.67,328200.00
2020-04,317100.00,309500.00
2020-05,320700.00,315900.00
2020-06,324300.00,325500.00
2020-07,327900.00,320400.00
