date,30_year_mortgage_rate
1879-01,5.92
1879-02,5.91
1879-03,5.90
1879-04,5.89
1879-05,5.87
1879-06,5.86
1879-07,5.85
1879-08,5.84
1879-09,5.83
1879-10,5.82
1879-11,5.80
1879-12,5.79
1880-01,5.78
1880-02,5.78
1880-03,5.78
1880-04,5.79
1880-05,5.79
1880-06,5.79
1880-07,5.79
1880-08,5.79
1880-09,5.79
1880-10,5.80
1880-11,5.80
1880-12,5.80
1881-01,5.80
1881-02,5.79
1881-03,5.78
1881-04,5.76
1881-05,5.75
1881-06,5.74
1881-07,5.73
1881-08,5.71
1881-09,5.70
1881-10,5.69
1881-11,5.68
1881-12,5.66
1882-01,5.65
1882-02,5.63
1882-03,5.61
1882-04,5.60
1882-05,5.58
1882-06,5.56
1882-07,5.54
1882-08,5.52
1882-09,5.50
1882-10,5.49
1882-11,5.47
1882-12,5.45
1883-01,5.43
1883-02,5.42
1883-03,5.42
1883-04,5.41
1883-05,5.40
1883-06,5.40
1883-07,5.39
1883-08,5.38
1883-09,5.38
1883-10,5.37
1883-11,5.36
1883-12,5.36
1884-01,5.35
1884-02,5.34
1884-03,5.33
1884-04,5.31
1884-05,5.30
1884-06,5.29
1884-07,5.28
1884-08,5.26
1884-09,5.25
1884-10,5.24
1884-11,5.23
1884-12,5.21
1885-01,5.20
1885-02,5.19
1885-03,5.18
1885-04,5.18
1885-05,5.17
1885-06,5.16
1885-07,5.15
1885-08,5.14
1885-09,5.13
1885-10,5.13
1885-11,5.12
1885-12,5.11
1886-01,5.10
1886-02,5.10
1886-03,5.11
1886-04,5.11
1886-05,5.11
1886-06,5.12
1886-07,5.12
1886-08,5.12
1886-09,5.13
1886-10,5.13
1886-11,5.13
1886-12,5.14
1887-01,5.14
1887-02,5.15
1887-03,5.15
1887-04,5.16
1887-05,5.16
1887-06,5.17
1887-07,5.17
1887-08,5.18
1887-09,5.18
1887-10,5.19
1887-11,5.19
1887-12,5.20
1888-01,5.20
1888-02,5.19
1888-03,5.19
1888-04,5.18
1888-05,5.18
1888-06,5.17
1888-07,5.17
1888-08,5.16
1888-09,5.15
1888-10,5.15
1888-11,5.14
1888-12,5.14
1889-01,5.13
1889-02,5.16
1889-03,5.18
1889-04,5.21
1889-05,5.24
1889-06,5.26
1889-07,5.29
1889-08,5.32
1889-09,5.34
1889-10,5.37
1889-11,5.40
1889-12,5.42
1890-01,5.45
1890-02,5.44
1890-03,5.44
1890-04,5.43
1890-05,5.43
1890-06,5.42
1890-07,5.42
1890-08,5.41
1890-09,5.40
1890-10,5.40
1890-11,5.39
1890-12,5.39
1891-01,5.38
1891-02,5.37
1891-03,5.35
1891-04,5.34
1891-05,5.32
1891-06,5.31
1891-07,5.29
1891-08,5.28
1891-09,5.26
1891-10,5.25
1891-11,5.23
1891-12,5.22
1892-01,5.20
1892-02,5.20
1892-03,5.20
1892-04,5.20
1892-05,5.20
1892-06,5.20
1892-07,5.20
1892-08,5.20
1892-09,5.20
1892-10,5.20
1892-11,5.20
1892-12,5.20
1893-01,5.20
1893-02,5.20
1893-03,5.19
1893-04,5.19
1893-05,5.19
1893-06,5.18
1893-07,5.18
1893-08,5.18
1893-09,5.17
1893-10,5.17
1893-11,5.17
1893-12,5.16
1894-01,5.16
1894-02,5.15
1894-03,5.14
1894-04,5.13
1894-05,5.12
1894-06,5.11
1894-07,5.10
1894-08,5.09
