date,home_price_index,building_cost_index,population_millions
1890-01,3.55729645,104.1203727,63.0560
1890-02,3.52828098,103.6280178,63.1648
1890-03,3.49926551,103.1356629,63.2735
1890-04,3.47025004,102.6433081,63.3823
1890-05,3.44123457,102.1509532,63.4910
1890-06,3.41221910,101.6585983,63.5998
1890-07,3.38320364,101.1662434,63.7085
1890-08,3.35418817,100.6738885,63.8173
1890-09,3.32517270,100.1815336,63.9260
1890-10,3.29615723,99.6891787,64.0348
1890-11,3.26714176,99.1968238,64.1435
1890-12,3.23812629,98.70446891,64.2523
1891-01,3.20911082,98.21211402,64.3610
1891-02,3.21394674,98.49060112,64.4698
1891-03,3.21878265,98.76908822,64.5785
1891-04,3.22361856,99.04757532,64.6873
1891-05,3.22845447,99.32606242,64.7960
1891-06,3.23329038,99.60454952,64.9048
1891-07,3.23812629,99.88303662,65.0135
1891-08,3.24296220,100.1615237,65.1223
1891-09,3.24779812,100.4400108,65.2310
1891-10,3.25263403,100.7184979,65.3398
1891-11,3.25746994,100.996985,65.4485
1891-12,3.26230585,101.2754721,65.5573
1892-01,3.26714176,101.5539592,65.6660
1892-02,3.27874795,100.9208494,65.7747
1892-03,3.29035414,100.2877396,65.8833
1892-04,3.30196032,99.65462974,65.9920
1892-05,3.31356651,99.02151992,66.1007
1892-06,3.32517270,98.38841009,66.2093
1892-07,3.33677889,97.75530026,66.3180
1892-08,3.34838507,97.12219044,66.4267
1892-09,3.35999126,96.48908061,66.5353
1892-10,3.37159745,95.85597078,66.6440
1892-11,3.38320364,95.22286095,66.7527
1892-12,3.39480982,94.58975113,66.8613
1893-01,3.40641601,93.9566413,66.9700
1893-02,3.45332435,94.83313561,67.0788
1893-03,3.50023269,95.70962993,67.1875
1893-04,3.54714103,96.58612424,67.2963
1893-05,3.59404937,97.46261856,67.4050
1893-06,3.64095771,98.33911287,67.5138
1893-07,3.68786606,99.21560718,67.6225
1893-08,3.73477440,100.0921015,67.7313
1893-09,3.78168274,100.9685958,67.8400
1893-10,3.82859108,101.8450901,67.9488
1893-11,3.87549942,102.7215844,68.0575
1893-12,3.92240776,103.5980788,68.1663
1894-01,3.96931610,104.4745731,68.2750
1894-02,3.93884986,104.7247807,68.3838
1894-03,3.90838362,104.9749883,68.4925
1894-04,3.87791737,105.2251959,68.6013
1894-05,3.84745113,105.4754035,68.7100
1894-06,3.81698489,105.7256112,68.8188
1894-07,3.78651865,105.9758188,68.9275
1894-08,3.75605241,106.2260264,69.0363
1894-09,3.72558616,106.476234,69.1450
1894-10,3.69511992,106.7264417,69.2538
1894-11,3.66465368,106.9766493,69.3625
1894-12,3.63418744,107.2268569,69.4713
1895-01,3.60372120,107.4770645,69.5800
1895-02,3.56358313,107.3997149,69.6888
1895-03,3.52344507,107.3223652,69.7975
1895-04,3.48330700,107.2450155,69.9063
1895-05,3.44316894,107.1676659,70.0150
1895-06,3.40303087,107.0903162,70.1238
1895-07,3.36289281,107.0129666,70.2325
1895-08,3.32275474,106.9356169,70.3413
1895-09,3.28261668,106.8582673,70.4500
1895-10,3.24247861,106.7809176,70.5588
1895-11,3.20234055,106.7035679,70.6675
1895-12,3.16220248,106.6262183,70.7763
1896-01,3.12206442,106.5488686,70.8850
1896-02,3.13028547,106.6277326,70.9937
1896-03,3.13850652,106.7065966,71.1023
1896-04,3.14672757,106.7854605,71.2110
1896-05,3.15494862,106.8643245,71.3197
1896-06,3.16316967,106.9431885,71.4283
1896-07,3.17139072,107.0220524,71.5370
1896-08,3.17961176,107.1009164,71.6457
1896-09,3.18783281,107.1797803,71.7543
1896-10,3.19605386,107.2586443,71.8630
1896-11,3.20427491,107.3375083,71.9717
1896-12,3.21249596,107.4163722,72.0803
1897-01,3.22071701,107.4952362,72.1890
1897-02,3.23812629,107.6187443,72.2978
1897-03,3.25553557,107.7422523,72.4065
1897-04,3.27294486,107.8657604,72.5153
1897-05,3.29035414,107.9892684,72.6240
1897-06,3.30776342,108.1127765,72.7328
1897-07,3.32517270,108.2362845,72.8415
1897-08,3.34258198,108.3597926,72.9503
1897-09,3.35999126,108.4833007,73.0590
1897-10,3.37740054,108.6068087,73.1678
1897-11,3.39480982,108.7303168,73.2765
1897-12,3.41221910,108.8538248,73.3853
1898-01,3.42962839,108.9773329,73.4940
1898-02,3.41705502,109.4978658,73.6028
1898-03,3.40448165,110.0183988,73.7115
1898-04,3.39190828,110.5389317,73.8203
1898-05,3.37933491,111.0594647,73.9290
1898-06,3.36676154,111.5799977,74.0378
1898-07,3.35418817,112.1005306,74.1465
1898-08,3.34161480,112.6210636,74.2553
1898-09,3.32904143,113.1415965,74.3640
