age,life_expectancy
0,84.60
1,83.70
2,82.80
3,81.80
4,80.80
5,79.80
6,78.80
7,77.90
8,76.90
9,75.90
10,74.90
11,73.90
12,72.90
13,71.90
14,70.90
15,69.90
16,69.00
17,68.00
18,67.00
19,66.00
20,65.00
21,64.10
22,63.10
23,62.10
24,61.10
25,60.20
26,59.20
27,58.20
28,57.30
29,56.30
30,55.30
31,54.40
32,53.40
33,52.50
34,51.50
35,50.50
36,49.60
37,48.60
38,47.70
39,46.70
40,45.70
41,44.80
42,43.80
43,42.90
44,41.90
45,41.00
46,40.00
47,39.00
48,38.10
49,37.10
50,36.20
51,35.30
52,34.30
53,33.40
54,32.50
55,31.60
56,30.60
57,29.80
58,28.90
59,28.00
60,27.10
61,26.20
62,25.40
63,24.50
64,23.70
65,22.90
66,22.00
67,21.20
68,20.40
69,19.60
70,18.80
71,18.00
72,17.20
73,16.40
74,15.60
75,14.80
76,14.10
77,13.30
78,12.60
79,11.90
80,11.20
81,10.50
82,9.90
83,9.30
84,8.70
85,8.10
86,7.60
87,7.10
88,6.60
89,6.10
90,5.70
91,5.30
92,4.90
93,4.60
94,4.30
95,4.00
96,3.70
97,3.40
98,3.20
99,3.00
100,2.80
101,2.60
102,2.50
103,2.30
104,2.20
105,2.10
106,2.10
107,2.10
108,2.00
109,2.00
110,2.00
111,2.00
112,2.00
113,1.90
114,1.90
115,1.80
116,1.80
117,1.60
118,1.40
119,1.10
120,1.00
