date,home_price_index,building_cost_index,population_millions
1890-01,3.557296446,7.611651901,63.056
1890-02,3.528280978,7.575658618,63.16475
1890-03,3.499265509,7.539665335,63.2735
1890-04,3.470250041,7.503672052,63.38225
1890-05,3.441234572,7.467678769,63.491
1890-06,3.412219104,7.431685485,63.59975
1890-07,3.383203635,7.395692202,63.7085
1890-08,3.354188166,7.359698919,63.81725
1890-09,3.325172698,7.323705636,63.926
1890-10,3.296157229,7.287712353,64.03475
1890-11,3.267141761,7.25171907,64.1435
1890-12,3.238126292,7.215725787,64.25225
1891-01,3.209110824,7.179732504,64.361
1891-02,3.213946735,7.200091121,64.46975
1891-03,3.218782647,7.220449739,64.5785
1891-04,3.223618558,7.240808357,64.68725
1891-05,3.228454469,7.261166975,64.796
1891-06,3.233290381,7.281525592,64.90475
1891-07,3.238126292,7.30188421,65.0135
1891-08,3.242962204,7.322242828,65.12225
1891-09,3.247798115,7.342601446,65.231
1891-10,3.252634027,7.362960063,65.33975
1891-11,3.257469938,7.383318681,65.4485
1891-12,3.262305849,7.403677299,65.55725
1892-01,3.267141761,7.424035917,65.666
1892-02,3.278747948,7.377752836,65.77466667
1892-03,3.290354136,7.331469755,65.88333333
1892-04,3.301960323,7.285186674,65.992
1892-05,3.31356651,7.238903594,66.10066667
1892-06,3.325172698,7.192620513,66.20933333
1892-07,3.336778885,7.146337432,66.318
1892-08,3.348385073,7.100054351,66.42666667
1892-09,3.35999126,7.053771271,66.53533333
1892-10,3.371597448,7.00748819,66.644
1892-11,3.383203635,6.961205109,66.75266667
1892-12,3.394809822,6.914922028,66.86133333
1893-01,3.40641601,6.868638948,66.97
1893-02,3.453324351,6.932714492,67.07875
1893-03,3.500232692,6.996790037,67.1875
1893-04,3.547141032,7.060865582,67.29625
1893-05,3.594049373,7.124941127,67.405
1893-06,3.640957714,7.189016672,67.51375
1893-07,3.687866055,7.253092217,67.6225
1893-08,3.734774396,7.317167761,67.73125
1893-09,3.781682737,7.381243306,67.84
1893-10,3.828591078,7.445318851,67.94875
1893-11,3.875499418,7.509394396,68.0575
1893-12,3.922407759,7.573469941,68.16625
1894-01,3.9693161,7.637545486,68.275
1894-02,3.938849858,7.65583675,68.38375
1894-03,3.908383616,7.674128015,68.4925
1894-04,3.877917374,7.69241928,68.60125
1894-05,3.847451132,7.710710545,68.71
1894-06,3.81698489,7.72900181,68.81875
1894-07,3.786518648,7.747293074,68.9275
1894-08,3.756052406,7.765584339,69.03625
1894-09,3.725586164,7.783875604,69.145
1894-10,3.695119922,7.802166869,69.25375
1894-11,3.66465368,7.820458134,69.3625
1894-12,3.634187438,7.838749399,69.47125
1895-01,3.603721196,7.857040663,69.58
1895-02,3.563583131,7.851386067,69.68875
1895-03,3.523445066,7.845731471,69.7975
1895-04,3.483307002,7.840076875,69.90625
1895-05,3.443168937,7.834422279,70.015
1895-06,3.403030872,7.828767683,70.12375
1895-07,3.362892807,7.823113086,70.2325
1895-08,3.322754742,7.81745849,70.34125
1895-09,3.282616677,7.811803894,70.45
1895-10,3.242478613,7.806149298,70.55875
1895-11,3.202340548,7.800494702,70.6675
1895-12,3.162202483,7.794840106,70.77625
1896-01,3.122064418,7.789185509,70.885
1896-02,3.130285467,7.794950808,70.99366667
1896-03,3.138506517,7.800716107,71.10233333
