date,price,dividends,earnings,cpi,long_term_interest_rate
1871-01,4.44,0.26000,0.40,12.464,5.32
1871-02,4.50,0.26000,0.40,12.845,5.32
1871-03,4.61,0.26000,0.40,13.035,5.33
1871-04,4.74,0.26000,0.40,12.559,5.33
1871-05,4.86,0.26000,0.40,12.274,5.33
1871-06,4.82,0.26000,0.40,12.083,5.34
1871-07,4.73,0.26000,0.40,12.083,5.34
1871-08,4.79,0.26000,0.40,11.893,5.34
1871-09,4.84,0.26000,0.40,12.179,5.35
1871-10,4.59,0.26000,0.40,12.369,5.35
1871-11,4.64,0.26000,0.40,12.369,5.35
1871-12,4.74,0.26000,0.40,12.654,5.36
1872-01,4.86,0.26330,0.40,12.654,5.36
1872-02,4.88,0.26670,0.41,12.654,5.38
1872-03,5.04,0.27000,0.41,12.845,5.40
1872-04,5.18,0.27330,0.41,13.130,5.42
1872-05,5.18,0.27670,0.41,13.130,5.43
1872-06,5.13,0.28000,0.42,13.035,5.45
1872-07,5.10,0.28330,0.42,12.845,5.47
1872-08,5.04,0.28670,0.42,12.940,5.49
1872-09,4.95,0.29000,0.42,13.035,5.51
1872-10,4.97,0.29330,0.43,12.749,5.53
1872-11,4.95,0.29670,0.43,13.130,5.54
1872-12,5.07,0.30000,0.43,12.940,5.56
1873-01,5.11,0.30250,0.43,12.940,5.58
1873-02,5.15,0.30500,0.44,13.225,5.57
1873-03,5.11,0.30750,0.44,13.225,5.56
1873-04,5.04,0.31000,0.44,13.225,5.55
1873-05,5.05,0.31250,0.44,12.940,5.54
1873-06,4.98,0.31500,0.45,12.559,5.53
1873-07,4.97,0.31750,0.45,12.559,5.53
1873-08,4.97,0.32000,0.45,12.559,5.52
1873-09,4.59,0.32250,0.45,12.559,5.51
1873-10,4.19,0.32500,0.46,12.274,5.50
1873-11,4.04,0.32750,0.46,11.893,5.49
1873-12,4.42,0.33000,0.46,12.179,5.48
1874-01,4.66,0.33000,0.46,12.369,5.47
1874-02,4.80,0.33000,0.46,12.369,5.44
1874-03,4.73,0.33000,0.46,12.369,5.40
1874-04,4.60,0.33000,0.46,12.179,5.37
1874-05,4.48,0.33000,0.46,12.083,5.34
1874-06,4.46,0.33000,0.46,11.798,5.30
1874-07,4.46,0.33000,0.46,11.893,5.27
1874-08,4.47,0.33000,0.46,11.798,5.24
1874-09,4.54,0.33000,0.46,11.798,5.20
1874-10,4.53,0.33000,0.46,11.608,5.17
1874-11,4.57,0.33000,0.46,11.513,5.14
1874-12,4.54,0.33000,0.46,11.513,5.10
1875-01,4.54,0.32750,0.45,11.513,5.07
1875-02,4.53,0.32500,0.44,11.513,5.03
1875-03,4.59,0.32250,0.44,11.513,4.99
1875-04,4.65,0.32000,0.43,11.608,4.95
1875-05,4.47,0.31750,0.42,11.322,4.91
1875-06,4.38,0.31500,0.41,11.132,4.87
1875-07,4.39,0.31250,0.40,11.132,4.83
1875-08,4.41,0.31000,0.39,11.227,4.79
1875-09,4.37,0.30750,0.39,11.132,4.75
1875-10,4.30,0.30500,0.38,11.132,4.71
1875-11,4.37,0.30250,0.37,11.037,4.67
1875-12,4.37,0.30000,0.36,10.942,4.63
1876-01,4.46,0.30000,0.35,10.847,4.59
1876-02,4.52,0.30000,0.35,10.847,4.58
1876-03,4.51,0.30000,0.34,10.847,4.57
1876-04,4.34,0.30000,0.33,10.751,4.56
1876-05,4.18,0.30000,0.33,10.371,4.54
1876-06,4.15,0.30000,0.32,10.085,4.53
1876-07,4.10,0.30000,0.31,10.085,4.52
1876-08,3.93,0.30000,0.31,10.181,4.51
1876-09,3.69,0.30000,0.30,10.276,4.50
1876-10,3.67,0.30000,0.29,10.466,4.49
1876-11,3.60,0.30000,0.29,10.561,4.47
1876-12,3.58,0.30000,0.28,10.751,4.46
1877-01,3.55,0.29080,0.28,10.942,4.45
1877-02,3.34,0.28170,0.28,10.656,4.44
1877-03,3.17,0.27250,0.29,10.181,4.43
1877-04,2.94,0.26330,0.29,10.466,4.42
1877-05,2.94,0.25420,0.29,10.656,4.41
1877-06,2.73,0.24500,0.29,10.085,4.40
1877-07,2.85,0.23580,0.29,10.181,4.40
1877-08,3.05,0.22670,0.29,9.800,4.39
1877-09,3.24,0.21750,0.30,9.705,4.38
1877-10,3.31,0.20830,0.30,9.705,4.37
1877-11,3.26,0.19920,0.30,9.515,4.36
1877-12,3.25,0.19000,0.30,9.515,4.35
1878-01,3.25,0.18920,0.30,9.229,4.34
1878-02,3.18,0.18830,0.30,9.134,4.33
1878-03,3.24,0.18750,0.30,8.944,4.32
1878-04,3.33,0.18670,0.30,8.849,4.31
1878-05,3.34,0.18580,0.30,8.563,4.30
1878-06,3.41,0.18500,0.31,8.373,4.29
1878-07,3.48,0.18420,0.31,8.468,4.28
1878-08,3.45,0.18330,0.31,8.563,4.27
1878-09,3.52,0.18250,0.31,8.563,4.26
1878-10,3.48,0.18170,0.31,8.468,4.25
1878-11,3.47,0.18080,0.31,8.373,4.24
1878-12,3.45,0.18000,0.31,8.183,4.23
1879-01,3.58,0.18170,0.32,8.278,4.22
1879-02,3.71,0.18330,0.32,8.373,4.20
1879-03,3.65,0.18500,0.33,8.278,4.19
1879-04,3.77,0.18670,0.33,8.183,4.17
1879-05,3.94,0.18830,0.34,8.183,4.15
1879-06,3.96,0.19000,0.35,8.087,4.14
1879-07,4.04,0.19170,0.35,8.183,4.12
1879-08,4.07,0.19330,0.36,8.183,4.10
1879-09,4.22,0.19500,0.36,8.468,4.09
1879-10,4.68,0.19670,0.37,8.944,4.07
1879-11,4.93,0.19830,0.37,9.419,4.05
1879-12,4.92,0.20000,0.38,9.705,4.04
1880-01,5.11,0.20500,0.39,9.990,4.02
1880-02,5.20,0.21000,0.40,9.990,3.99
1880-03,5.30,0.21500,0.41,10.085,3.97
1880-04,5.18,0.22000,0.42,9.705,3.94
1880-05,4.77,0.22500,0.43,9.419,3.91
1880-06,4.79,0.23000,0.44,9.229,3.89
1880-07,5.01,0.23500,0.44,9.229,3.86
1880-08,5.19,0.24000,0.45,9.229,3.83
1880-09,5.18,0.24500,0.46,9.324,3.81
1880-10,5.33,0.25000,0.47,9.324,3.78
