year,payroll_taxes_millions,benefit_taxes_millions,fund_transfers_millions,net_interest_millions,total_income_millions,benefit_payments_millions,admin_expenses_millions,rr_transfers_millions,total_cost_millions,net_gain_millions,reserve_assets_millions
1957,702,0,0,7,709,57,2,0,59,650,650
1958,965,0,0,25,990,249,13,0,262,728,1378
1959,891,0,0,40,931,456,50,-22,484,447,1825
1960,1010,0,0,53,1063,568,37,-4,601,462,2287
1961,1038,0,0,66,1104,887,64,5,956,148,2435
1962,1046,0,0,68,1114,1105,66,11,1182,-68,2367
1963,1099,0,0,66,1165,1210,67,19,1296,-131,2236
1964,1154,0,0,64,1218,1309,79,19,1407,-189,2047
1965,1188,0,0,58,1246,1574,90,23,1687,-441,1606
1966,2005,0,16,58,2079,1784,137,25,1946,133,1739
1967,2286,0,16,78,2380,1949,109,31,2089,291,2030
1968,3315,0,32,106,3453,2311,127,20,2458,995,3025
1969,3599,0,16,177,3792,2557,138,22,2717,1075,4100
1970,4481,0,16,276,4773,3086,164,10,3260,1513,5613
1971,4620,0,50,360,5030,3783,205,13,4001,1029,6642
1972,5107,0,51,414,5572,4501,233,25,4759,813,7455
1973,5932,0,52,458,6442,5763,190,19,5972,470,7925
1974,6826,0,52,501,7379,6958,217,22,7197,182,8107
1975,7443,0,90,502,8035,8505,256,28,8789,-754,7353
1976,8233,0,103,421,8757,10054,285,27,10366,-1609,5744
1977,9138,0,128,304,9570,11546,398,0,11944,-2374,3370
1978,13412,0,142,256,13810,12599,325,29,12953,857,4227
1979,15115,0,118,358,15591,13786,370,29,14185,1406,5633
1980,13255,0,130,485,13870,15515,368,-12,15871,-2001,3632
1981,16737,0,168,171,17076,17192,436,29,17657,-581,3051
1982,21994,0,174,546,22714,17376,590,27,17993,4721,7772
1983,17991,0,1121,1570,20682,17524,625,28,18177,2505,10277
1984,15504,190,441,1174,17309,17898,626,22,18546,-1237,9040
1985,17014,222,1195,870,19301,18827,608,43,19478,-177,8863
1986,18248,238,152,802,19440,19854,601,68,20523,-1083,7780
1987,19538,-36,153,648,20303,20519,849,57,21425,-1122,6658
1988,21837,61,202,600,22700,21695,737,61,22493,207,6865
1989,23797,95,196,707,24795,22911,754,89,23754,1041,7906
1990,28403,144,-639,882,28790,24829,707,80,25616,3174,11080
1991,29128,190,10,1063,30391,27695,795,82,28572,1819,12899
1992,30148,232,-12,1062,31430,31112,834,58,32004,-574,12325
1993,31181,281,4,835,32301,34613,967,82,35662,-3361,8964
1994,51373,311,1,1157,52842,37744,1029,106,38879,13963,22927
1995,54404,341,-207,2157,56695,40924,1064,68,42056,14639,37566
1996,57325,373,0,3012,60710,44189,1160,2,45351,15359,52925
1997,56037,470,0,3992,60499,45695,1281,59,47035,13464,66389
1998,58966,558,0,4832,64356,48207,1568,157,49932,14424,80813
1999,63203,660,0,5677,69540,51382,1519,135,53036,16504,97317
2000,71094,720,-836,6942,77920,54983,1639,160,56782,21138,118455
2001,74934,812,1,8158,83905,59619,1741,10,61370,22535,140990
2002,77272,930,0,9178,87380,65702,2048,154,67904,19476,160466
2003,77441,944,1,9689,88075,70933,2009,167,73109,14966,175432
2004,80281,1110,0,9989,91380,78229,2152,216,80597,10783,186215
2005,86078,1073,0,10273,97424,85365,2315,338,88018,9406,195621
2006,90808,1230,0,10603,102641,91742,2327,388,94457,8184,203805
2007,95243,1393,8,13210,109854,95865,2467,445,98777,11077,214882
2008,97567,1313,0,10961,109841,106007,2526,418,108951,890,215772
2009,96865,1954,0,10463,109282,118316,2743,447,121506,-12224,203548
2010,92510,1852,363,9292,104017,124216,2982,462,127660,-23643,179905
2011,81881,1581,14927,7887,106276,128948,2919,464,132331,-26055,153850
2012,85615,583,16545,6370,109113,136897,2890,512,140299,-31186,122664
2013,105403,392,730,4706,111231,140130,2769,551,143450,-32219,90445
2014,109737,1680,70,3371,114858,141683,2933,444,145060,-30202,60243
2015,115389,1071,47,2087,118594,143370,2793,419,146582,-27988,32255
2016,157391,1194,15,1396,159996,142781,2760,376,145917,14079,46334
2017,167087,1973,3,1888,170951,142807,2796,206,145809,25142,71476
2018,169186,529,4,2628,172347,143740,2856,173,146769,25578,97054
2019,139377,1583,2,2940,143902,145121,2689,66,147876,-3974,93080
2020,145293,1704,0,2751,149748,143562,2555,144,146261,3487,96567
2021,142367,459,0,2643,145469,140058,2481,108,142647,2822,99389
2022,160678,1553,0,2833,165064,143567,2747,155,146469,18595,117984
2023,179023,950,0,3828,183801,151917,2839,60,154816,28985,146969
2024,187745,654,0,5404,193803,155013,2508,73,157594,36209,183178
