year,payroll_taxes_millions,benefit_taxes_millions,fund_transfers_millions,net_interest_millions,total_income_millions,benefit_payments_millions,admin_expenses_millions,rr_transfers_millions,total_cost_millions,net_gain_millions,reserve_assets_millions
1937,765,0,0,2,767,1,0,0,1,766,766
1938,360,0,0,15,375,10,0,0,10,365,1131
1939,580,0,0,27,607,14,0,0,14,593,1724
1940,325,0,0,43,368,35,26,0,61,307,2031
1941,789,0,0,56,845,88,26,0,114,731,2762
1942,1012,0,0,72,1084,131,28,0,159,925,3687
1943,1239,0,0,88,1327,166,29,0,195,1132,4819
1944,1316,0,0,107,1423,209,29,0,238,1185,6004
1945,1285,0,0,134,1419,274,30,0,304,1115,7119
1946,1295,0,0,152,1447,378,40,0,418,1029,8148
1947,1557,0,1,164,1722,466,46,0,512,1210,9358
1948,1685,0,3,281,1969,556,51,0,607,1362,10720
1949,1666,0,4,146,1816,667,54,0,721,1095,11815
1950,2667,0,4,257,2928,961,61,0,1022,1906,13721
1951,3363,0,4,417,3784,1885,81,0,1966,1818,15539
1952,3819,0,0,365,4184,2194,88,0,2282,1902,17441
1953,3945,0,0,414,4359,3006,88,0,3094,1265,18706
1954,5163,0,0,447,5610,3670,92,-21,3741,1869,20575
1955,5713,0,0,454,6167,4968,119,-7,5080,1087,21662
1956,6172,0,0,526,6698,5715,132,-5,5842,856,22518
1957,6825,0,0,556,7381,7347,162,-2,7507,-126,22392
1958,7566,0,0,552,8118,8327,194,124,8645,-527,21865
1959,8052,0,0,532,8584,9842,184,282,10308,-1724,20141
1960,10866,0,0,516,11382,10677,203,318,11198,184,20325
1961,11285,0,0,548,11833,11862,239,332,12433,-600,19725
1962,12059,0,0,526,12585,13356,256,361,13973,-1388,18337
1963,14541,0,0,521,15062,14217,281,423,14921,141,18478
1964,15689,0,0,569,16258,14914,296,403,15613,645,19123
1965,16017,0,0,593,16610,16737,328,436,17501,-891,18232
1966,20580,0,78,644,21302,18267,256,444,18967,2335,20567
1967,23138,0,78,818,24034,19468,406,508,20382,3652,24219
1968,23719,0,382,939,25040,22643,476,438,23557,1483,25702
1969,27947,0,442,1165,29554,24210,474,491,25175,4379,30081
1970,30256,0,449,1515,32220,28798,471,579,29848,2372,32453
1971,33723,0,488,1667,35878,33414,514,613,34541,1337,33790
1972,37781,0,475,1794,40050,37124,674,724,38522,1528,35318
1973,45975,0,442,1928,48345,45745,647,783,47175,1170,36488
1974,52081,0,447,2159,54687,51623,865,909,53397,1290,37778
1975,56816,0,425,2364,59605,58517,896,982,60395,-790,36988
1976,63362,0,614,2301,66277,65705,959,1212,67876,-1599,35389
1977,69572,0,613,2227,72412,73121,981,1208,75310,-2898,32491
1978,75471,0,615,2008,78094,80361,1115,1589,83065,-4971,27520
1979,87919,0,557,1797,90273,90573,1113,1448,93134,-2861,24659
1980,103456,0,540,1845,105841,105083,1154,1442,107679,-1838,22821
1981,122627,0,675,2060,125362,123803,1307,1585,126695,-1333,21488
1982,123673,0,680,845,125198,138806,1519,1793,142118,-16920,4568
1983,138337,0,5541,6706,150584,149221,1528,2251,153000,-2416,2152
1984,159515,2835,4712,2266,169328,157841,1638,2404,161883,7445,9597
1985,175128,3208,4032,1871,184239,167248,1592,2310,171150,13089,22686
