year,top_tax_rate,min_holding_period_years
1913,ordinary,0.00
1914,ordinary,0.00
1915,ordinary,0.00
1916,ordinary,0.00
1917,ordinary,0.00
1918,ordinary,0.00
1919,ordinary,0.00
1920,ordinary,0.00
1921,ordinary,0.00
1922,0.1250,2.00
1923,0.1250,2.00
1924,0.1250,2.00
1925,0.1250,2.00
1926,0.1250,2.00
1927,0.1250,2.00
1928,0.1250,2.00
1929,0.1250,2.00
1930,0.1250,2.00
1931,0.1250,2.00
1932,0.1250,2.00
1933,0.1250,2.00
1934,0.2370,1.00
1935,0.2370,1.00
1936,0.2370,1.00
1937,0.2370,1.00
1938,0.1500,1.50
1939,0.1500,1.50
1940,0.1500,1.50
1941,0.1500,1.50
1942,0.2500,0.50
1943,0.2500,0.50
1944,0.2500,0.50
1945,0.2500,0.50
1946,0.2500,0.50
1947,0.2500,0.50
1948,0.2500,0.50
1949,0.2500,0.50
1950,0.2500,0.50
1951,0.2500,0.50
1952,0.2600,0.50
1953,0.2600,0.50
1954,0.2500,0.50
1955,0.2500,0.50
1956,0.2500,0.50
1957,0.2500,0.50
1958,0.2500,0.50
1959,0.2500,0.50
1960,0.2500,0.50
1961,0.2500,0.50
1962,0.2500,0.50
1963,0.2500,0.50
1964,0.2500,0.50
1965,0.2500,0.50
1966,0.2500,0.50
1967,0.2500,0.50
1968,0.2690,0.50
1969,0.2750,0.50
1970,0.3020,0.50
1971,0.3250,0.50
1972,0.3500,0.50
1973,0.3500,0.50
1974,0.3500,0.50
1975,0.3500,0.50
1976,0.3500,0.50
1977,0.3500,0.75
1978,0.3380,1.00
1979,0.2800,1.00
1980,0.2800,1.00
1981,0.2000,1.00
1982,0.2000,1.00
1983,0.2000,1.00
1984,0.2000,0.50
1985,0.2000,0.50
1986,0.2000,0.50
1987,0.2800,1.00
1988,0.2800,1.00
1989,0.2800,1.00
1990,0.2800,1.00
1991,0.2800,1.00
1992,0.2800,1.00
1993,0.2800,1.00
1994,0.2800,1.00
1995,0.2800,1.00
1996,0.2800,1.00
1997,0.2000,1.50
1998,0.2000,1.00
1999,0.2000,1.00
2000,0.2000,1.00
2001,0.2000,1.00
2002,0.2000,1.00
2003,0.1500,1.00
2004,0.1500,1.00
2005,0.1500,1.00
2006,0.1500,1.00
2007,0.1500,1.00
2008,0.1500,1.00
2009,0.1500,1.00
2010,0.1500,1.00
2011,0.1500,1.00
2012,0.1500,1.00
2013,0.2000,1.00
2014,0.2000,1.00
2015,0.2000,1.00
2016,0.2000,1.00
2017,0.2000,1.00
2018,0.2000,1.00
2019,0.2000,1.00
2020,0.2000,1.00
2021,0.2000,1.00
2022,0.2000,1.00
2023,0.2000,1.00
2024,0.2000,1.00
