year,max_oasdi_earnings,oasi_tax_rate,di_tax_rate,oasdi_tax_rate,max_hi_earnings,additional_earnings_floor,hi_tax_rate,additional_hi_tax_rate,fica_tax_rate,excess_tax_rate
1937,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1938,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1939,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1940,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1941,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1942,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1943,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1944,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1945,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1946,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1947,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1948,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1949,3000,0.010000,0.000000,0.010000,,,,,0.010000,
1950,3000,0.015000,0.000000,0.015000,,,,,0.015000,
1951,3600,0.015000,0.000000,0.015000,,,,,0.015000,
1952,3600,0.015000,0.000000,0.015000,,,,,0.015000,
1953,3600,0.015000,0.000000,0.015000,,,,,0.015000,
1954,3600,0.020000,0.000000,0.020000,,,,,0.020000,
1955,4200,0.020000,0.000000,0.020000,,,,,0.020000,
1956,4200,0.020000,0.000000,0.020000,,,,,0.020000,
1957,4200,0.020000,0.002500,0.022500,,,,,0.022500,
1958,4200,0.020000,0.002500,0.022500,,,,,0.022500,
1959,4800,0.022500,0.002500,0.025000,,,,,0.025000,
1960,4800,0.027500,0.002500,0.030000,,,,,0.030000,
1961,4800,0.027500,0.002500,0.030000,,,,,0.030000,
1962,4800,0.028750,0.002500,0.031250,,,,,0.031250,
1963,4800,0.037500,0.002500,0.040000,,,,,0.040000,
1964,4800,0.037500,0.002500,0.040000,,,,,0.040000,
1965,4800,0.037500,0.002500,0.040000,4800,,0.003500,0.000000,0.043500,0.000000
1966,6600,0.035000,0.003500,0.038500,6600,,0.003500,0.000000,0.042000,0.000000
1967,6600,0.035500,0.003500,0.039000,6600,,0.005000,0.000000,0.044000,0.000000
1968,7800,0.033250,0.004750,0.038000,7800,,0.006000,0.000000,0.044000,0.000000
1969,7800,0.037250,0.004750,0.042000,7800,,0.006000,0.000000,0.048000,0.000000
1970,7800,0.036500,0.005500,0.042000,7800,,0.006000,0.000000,0.048000,0.000000
1971,7800,0.040500,0.005500,0.046000,7800,,0.006000,0.000000,0.052000,0.000000
1972,9000,0.040500,0.005500,0.046000,9000,,0.006000,0.000000,0.052000,0.000000
1973,10800,0.043000,0.005500,0.048500,10800,,0.010000,0.000000,0.058500,0.000000
1974,13200,0.043750,0.005750,0.049500,13200,,0.009000,0.000000,0.058500,0.000000
1975,14100,0.043750,0.005750,0.049500,14100,,0.009000,0.000000,0.058500,0.000000
1976,15300,0.043750,0.005750,0.049500,15300,,0.009000,0.000000,0.058500,0.000000
1977,16500,0.043750,0.005750,0.049500,16500,,0.009000,0.000000,0.058500,0.000000
