year,tax_rate
1966,0.030000
1967,0.030000
1968,0.030000
1969,0.030000
1970,0.050000
1971,0.050000
1972,0.050000
1973,0.050000
1974,0.050000
1975,0.050000
1976,0.050000
1977,0.050000
1978,0.050000
1979,0.050000
1980,0.050000
1981,0.050000
1982,0.050000
1983,0.060000
1984,0.060000
1985,0.060000
1986,0.060000
1987,0.060000
1988,0.060000
1989,0.060000
1990,0.070000
1991,0.070000
1992,0.060000
1993,0.060000
1994,0.060000
1995,0.060000
1996,0.060000
1997,0.060000
1998,0.060000
1999,0.060000
2000,0.060000
2001,0.060000
2002,0.060000
2003,0.060000
2004,0.060000
2005,0.060000
2006,0.070000
2007,0.070000
2008,0.070000
2009,0.070000
2010,0.070000
2011,0.070000
2012,0.070000
2013,0.070000
2014,0.070000
2015,0.070000
2016,0.068750
2017,0.068750
2018,0.066250
2019,0.066250
2020,0.066250
2021,0.066250
2022,0.066250
2023,0.066250
2024,0.066250
