year,bracket_1,bracket_2,bracket_3,bracket_4,bracket_5,bracket_6,bracket_7,bracket_8
1976,0,20000,,,,,,
1977,0,20000,,,,,,
1978,0,20000,,,,,,
1979,0,20000,,,,,,
1980,0,20000,,,,,,
1981,0,20000,,,,,,
1982,0,20000,,,,,,
1983,0,20000,50000,,,,,
1984,0,20000,50000,,,,,
1985,0,20000,50000,,,,,
1986,0,20000,50000,,,,,
1987,0,20000,50000,,,,,
1988,0,20000,50000,,,,,
1989,0,20000,50000,,,,,
1990,0,20000,50000,,,,,
1991,0,20000,35000,40000,75000,,,
1992,0,20000,35000,40000,75000,,,
1993,0,20000,35000,40000,75000,,,
1994,0,20000,35000,40000,75000,,,
1995,0,20000,35000,40000,75000,,,
1996,0,20000,35000,40000,75000,,,
1997,0,20000,35000,40000,75000,,,
1998,0,20000,35000,40000,75000,,,
1999,0,20000,35000,40000,75000,,,
2000,0,20000,35000,40000,75000,,,
2001,0,20000,35000,40000,75000,,,
2002,0,20000,35000,40000,75000,,,
2003,0,20000,35000,40000,75000,,,
2004,0,20000,35000,40000,75000,500000,,
2005,0,20000,35000,40000,75000,500000,,
2006,0,20000,35000,40000,75000,500000,,
2007,0,20000,35000,40000,75000,500000,,
2008,0,20000,35000,40000,75000,500000,,
2009,0,20000,35000,40000,75000,400000,500000,1000000
2010,0,20000,35000,40000,75000,500000,,
2011,0,20000,35000,40000,75000,500000,,
2012,0,20000,35000,40000,75000,500000,,
2013,0,20000,35000,40000,75000,500000,,
2014,0,20000,35000,40000,75000,500000,,
2015,0,20000,35000,40000,75000,500000,,
2016,0,20000,35000,40000,75000,500000,,
2017,0,20000,35000,40000,75000,500000,,
2018,0,20000,35000,40000,75000,500000,5000000,
2019,0,20000,35000,40000,75000,500000,5000000,
2020,0,20000,35000,40000,75000,500000,1000000,
2021,0,20000,35000,40000,75000,500000,1000000,
2022,0,20000,35000,40000,75000,500000,1000000,
2023,0,20000,35000,40000,75000,500000,1000000,
2024,0,20000,35000,40000,75000,500000,1000000,
