year,bracket_1,bracket_2,bracket_3,bracket_4,bracket_5,bracket_6,bracket_7,bracket_8
1976,0.020000,0.025000,,,,,,
1977,0.020000,0.025000,,,,,,
1978,0.020000,0.025000,,,,,,
1979,0.020000,0.025000,,,,,,
1980,0.020000,0.025000,,,,,,
1981,0.020000,0.025000,,,,,,
1982,0.020000,0.025000,,,,,,
1983,0.020000,0.025000,0.035000,,,,,
1984,0.020000,0.025000,0.035000,,,,,
1985,0.020000,0.025000,0.035000,,,,,
1986,0.020000,0.025000,0.035000,,,,,
1987,0.020000,0.025000,0.035000,,,,,
1988,0.020000,0.025000,0.035000,,,,,
1989,0.020000,0.025000,0.035000,,,,,
1990,0.020000,0.025000,0.035000,,,,,
1991,0.020000,0.025000,0.050000,0.065000,0.070000,,,
1992,0.020000,0.025000,0.050000,0.065000,0.070000,,,
1993,0.020000,0.025000,0.050000,0.065000,0.070000,,,
1994,0.019000,0.023750,0.047500,0.061750,0.066500,,,
1995,0.017000,0.021250,0.042500,0.060130,0.065800,,,
1996,0.014000,0.017500,0.035000,0.055250,0.063700,,,
1997,0.014000,0.017500,0.035000,0.055250,0.063700,,,
1998,0.014000,0.017500,0.035000,0.055250,0.063700,,,
1999,0.014000,0.017500,0.035000,0.055250,0.063700,,,
2000,0.014000,0.017500,0.035000,0.055250,0.063700,,,
2001,0.014000,0.017500,0.035000,0.055250,0.063700,,,
2002,0.014000,0.017500,0.035000,0.055250,0.063700,,,
2003,0.014000,0.017500,0.035000,0.055250,0.063700,,,
2004,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2005,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2006,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2007,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2008,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2009,0.014000,0.017500,0.035000,0.055250,0.063700,0.080000,0.102500,0.107500
2010,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2011,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2012,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2013,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2014,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2015,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2016,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2017,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,,
2018,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,0.107500,
2019,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,0.107500,
2020,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,0.107500,
2021,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,0.107500,
2022,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,0.107500,
2023,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,0.107500,
2024,0.014000,0.017500,0.035000,0.055250,0.063700,0.089700,0.107500,
